"planning_unit","number"
40701,0
40700,0
40699,0
40698,0
40697,0
40696,0
40695,0
40694,0
40693,0
40692,0
40691,0
40690,0
40689,0
40688,0
40687,0
40686,0
40685,0
40684,0
40683,0
40682,0
40681,0
40680,0
40679,0
40678,0
40677,0
40676,2
40675,0
40674,0
40673,0
40672,0
40671,0
40670,0
40669,0
40668,0
40667,0
40666,0
40665,0
40664,0
40663,1
40662,1
40661,2
40660,0
40659,0
40658,2
40657,0
40656,0
40655,0
40654,0
40653,0
40652,0
40651,0
40650,0
40649,0
40648,0
40647,0
40646,2
40645,1
40644,2
40643,5
40642,3
40641,2
40640,2
40639,0
40638,0
40637,0
40636,0
40635,1
40634,2
40633,3
40632,0
40631,0
40630,0
40629,0
40628,1
40627,1
40626,2
40625,1
40624,7
40623,7
40622,4
40621,2
40620,1
40619,0
40618,0
40617,0
40616,0
40615,1
40614,1
40613,5
40612,4
40611,4
40610,1
40609,0
40608,0
40607,0
40606,1
40605,2
40604,6
40603,6
40602,9
40601,12
40600,9
40599,7
40598,4
40597,0
40596,0
40595,0
40594,0
40593,0
40592,0
40591,4
40590,6
40589,7
40588,4
40587,4
40586,1
40585,0
40584,0
40583,0
40582,1
40581,2
40580,4
40579,9
40578,8
40577,15
40576,11
40575,11
40574,7
40573,4
40572,1
40571,0
40570,0
40569,0
40568,0
40567,0
40566,0
40565,0
40564,0
40563,2
40562,6
40561,5
40560,7
40559,10
40558,7
40557,7
40556,3
40555,1
40554,0
40553,0
40552,1
40551,2
40550,3
40549,11
40548,11
40547,12
40546,11
40545,11
40544,14
40543,9
40542,5
40541,0
40540,0
40539,0
40538,0
40537,0
40536,0
40535,0
40534,0
40533,0
40532,0
40531,1
40530,1
40529,6
40528,8
40527,9
40526,12
40525,14
40524,8
40523,6
40522,3
40521,1
40520,0
40519,0
40518,1
40517,2
40516,2
40515,8
40514,12
40513,15
40512,14
40511,14
40510,10
40509,12
40508,11
40507,7
40506,1
40505,0
40504,0
40503,0
40502,0
40501,0
40500,0
40499,0
40498,0
40497,0
40496,0
40495,0
40494,3
40493,8
40492,9
40491,10
40490,13
40489,16
40488,12
40487,9
40486,9
40485,2
40484,1
40483,0
40482,1
40481,2
40480,3
40479,5
40478,12
40477,19
40476,18
40475,12
40474,16
40473,17
40472,18
40471,10
40470,7
40469,1
40468,0
40467,0
40466,0
40465,0
40464,0
40463,1
40462,2
40461,0
40460,0
40459,0
40458,0
40457,2
40456,7
40455,10
40454,10
40453,16
40452,15
40451,16
40450,11
40449,10
40448,9
40447,2
40446,1
40445,3
40444,3
40443,5
40442,5
40441,13
40440,20
40439,18
40438,15
40437,16
40436,20
40435,19
40434,14
40433,8
40432,5
40431,3
40430,0
40429,0
40428,0
40427,1
40426,2
40425,6
40424,3
40423,2
40422,0
40421,0
40420,0
40419,0
40418,3
40417,6
40416,9
40415,10
40414,16
40413,16
40412,15
40411,18
40410,14
40409,11
40408,5
40407,2
40406,4
