"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,59390.952427,10959.434677,9989,8071919.625000,108283924.481035,22256563.514996,8071919.625001,77955441.341020,0.205539,0.000000,0.000000,0,1.000000
2,57414.131337,10886.984169,9678,7754307.002000,108283924.481035,21596771.879997,7754307.002001,78932845.599021,0.199446,1.305156,103.360000,0,0.999901
3,56307.175870,10313.643240,9233,7663059.328000,108283924.481035,20471090.060996,7663059.328001,80149775.092021,0.189050,15.176662,2587.640000,0,0.999520
4,57461.275336,10997.670813,9582,7740268.990000,108283924.481035,21351104.741997,7740268.990001,79192550.749021,0.197177,21.990582,1784.300000,0,0.999628
5,58800.256854,12031.027561,10355,7792911.864000,108283924.481035,23359433.507997,7792911.864001,77131579.109020,0.215724,11.758109,4059.760000,0,0.999490
6,56408.901616,10850.306501,9585,7589359.246000,108283924.481035,21434456.072997,7589359.246001,79260109.162021,0.197947,22.439639,2374.400000,0,0.999146
7,58069.264503,10932.764115,9221,7856083.398000,108283924.481035,20342992.212996,7856083.398001,80084848.870021,0.187867,0.000000,0.000000,0,1.000000
8,59486.430519,12090.482798,9622,7894688.278000,108283924.481035,21379181.044997,7894688.278001,79010055.158021,0.197436,27.818052,5283.700000,0,0.998201
9,59878.645689,11293.418489,9731,8096486.398000,108283924.481035,21565186.077996,8096486.398001,78622252.005020,0.199154,6.308812,910.000000,0,0.999614
10,57495.321067,10805.546432,9726,7780628.562000,108283924.481035,21709954.224996,7780628.562001,78793341.694021,0.200491,6.003262,1309.200000,0,0.999535
11,56137.212305,10568.952008,9688,7594623.552000,108283924.481035,21702935.154996,7594623.552001,78986365.774020,0.200426,0.518986,71.000000,0,0.999918
12,56001.867840,10771.042116,9290,7538470.954000,108283924.481035,20683416.659996,7538470.954001,80062036.867021,0.191011,0.000000,0.000000,0,1.000000
13,58934.269401,11032.958908,9477,7977162.292000,108283924.481035,20956282.589996,7977162.292001,79350479.599021,0.193531,38.336741,3089.640000,0,0.999614
14,59833.664210,10893.236889,9972,8154393.564000,108283924.481035,22170580.067996,8154393.564001,77958950.849020,0.204745,14.065937,1141.300000,0,0.999762
15,56247.176552,10387.489288,8911,7642002.118000,108283924.481035,19634067.075996,7642002.118001,81007855.287021,0.181320,7.674556,1088.500000,0,0.999614
16,58096.275088,10274.482498,9199,7966633.668000,108283924.481035,20229809.827996,7966633.668001,80087480.985022,0.186822,21.990582,1784.300000,0,0.999628
17,57806.937929,10635.747963,9887,7861347.736000,108283924.481035,22093370.408996,7861347.736001,78329206.336019,0.204032,3.103550,1056.950000,0,0.999790
18,56096.814418,10423.787956,9425,7612171.077000,108283924.481035,21001906.558996,7612171.077001,79669846.845020,0.193952,0.000000,0.000000,0,1.000000
19,58096.417211,10538.773271,9964,7926273.990000,108283924.481035,22263582.609997,7926273.990001,78094067.881020,0.205604,0.000000,0.000000,0,1.000000
20,55870.444570,10709.665129,8968,7524432.888000,108283924.481035,19842884.106996,7524432.888001,80916607.486021,0.183249,14.182113,1466.000000,0,0.998895
21,57067.336648,10145.628264,9748,7819233.262000,108283924.481035,21748559.129996,7819233.262001,78716132.089020,0.200848,6.308812,910.000000,0,0.999614
22,60834.754386,10928.299895,9791,8314077.318000,108283924.481035,21614319.442996,8314077.318001,78355527.720020,0.199608,21.990582,1784.300000,0,0.999628
23,57897.908360,10354.538741,9427,7922764.510000,108283924.481035,20851874.089997,7922764.510001,79509285.881021,0.192567,6.782559,270.000000,0,0.998429
24,58999.370737,10599.438529,9908,8066655.368000,108283924.481035,22045991.668996,8066655.368001,78171277.444020,0.203594,0.000000,0.000000,0,1.000000
25,58567.221342,10772.226551,9666,7964878.978000,108283924.481035,21459900.147996,7964878.978001,78859145.355020,0.198182,5.720923,440.000000,0,0.999231
26,57200.441483,10453.112649,9576,7791157.236000,108283924.481035,21309867.703996,7791157.236001,79182899.541020,0.196796,0.385418,104.500000,0,0.999979
27,57801.859804,10496.901772,9266,7884159.672000,108283924.481035,20447400.708996,7884159.672001,79952364.100021,0.188831,0.000000,0.000000,0,1.000000
28,56883.592758,10032.422929,9417,7805195.406000,108283924.481035,20884337.201996,7805195.406001,79594391.873020,0.192866,19.997393,2010.500000,0,0.999146
29,54636.842060,10458.874388,8775,7362994.612000,108283924.481035,19415598.780996,7362994.612001,81505331.088021,0.179303,0.000000,0.000000,0,1.000000
30,54151.606733,11331.827693,8653,7136629.840000,108283924.481035,19207659.108996,7136629.840001,81939635.532022,0.177382,0.000000,0.000000,0,1.000000
31,55191.885589,10245.331399,9373,7491092.365000,108283924.481035,20925574.162997,7491092.365001,79867257.953021,0.193247,0.000000,0.000000,0,1.000000
32,59730.665779,11525.661989,9602,8033314.758000,108283924.481035,21257224.793997,8033314.758001,78993384.929021,0.196310,5.115242,902.500000,0,0.999846
33,59445.806509,11761.813339,9888,7947331.366000,108283924.481035,22053010.746996,7947331.366001,78283582.368020,0.203659,0.004973,0.500000,0,1.000000
34,54030.676014,9505.265274,9287,7420901.790000,108283924.481035,20734304.784996,7420901.790001,80128717.906021,0.191481,0.000000,0.000000,0,1.000000
35,59585.914839,10774.713325,9900,8133336.322000,108283924.481035,21991594.069996,8133336.322001,78158994.089020,0.203092,11.183582,4361.750000,0,0.998552
36,57964.026625,11521.478995,9263,7736759.508000,108283924.481035,20513204.372996,7736759.508001,80033960.600021,0.189439,21.990582,1784.300000,0,0.999628
37,54196.152119,10719.118966,9379,7245425.192000,108283924.481035,21064200.586997,7245425.192001,79974298.702020,0.194527,4.482001,1518.580000,0,0.999913
38,59316.385425,10691.217378,9874,8101750.524000,108283924.481035,21938951.097996,8101750.524001,78243222.859021,0.202606,14.664903,736.400000,0,0.997170
39,59295.400443,10631.966657,10550,8107014.948000,108283924.481035,23715650.769997,8107014.948001,76461258.763020,0.219014,21.344098,6026.560000,0,0.999231
40,58291.056548,10610.860278,9890,7945576.550000,108283924.481035,22059152.444997,7945576.550001,78279195.486020,0.203716,6.736970,1033.600000,0,0.999614
41,59991.620711,11296.763571,10141,8115788.725000,108283924.481035,22634715.448997,8115788.725001,77533420.307020,0.209031,0.124790,18.000000,0,0.999992
42,60567.755593,10411.965004,10926,8357946.180000,108283924.481035,24579872.649996,8357946.180001,75346105.651019,0.226995,8.113508,2199.000000,0,0.999554
43,57882.436217,10893.335093,9948,7831516.854000,108283924.481035,22268846.848997,7831516.854001,78183560.778020,0.205652,0.000000,0.000000,0,1.000000
44,59499.686839,11313.166030,9614,8028050.548000,108283924.481035,21291442.664996,8028050.548001,78964431.268021,0.196626,18.217521,5918.250000,0,0.999553
45,60493.785367,11292.467936,9827,8200017.338000,108283924.481035,21766106.756996,8200017.338001,78317800.386021,0.201010,1.213403,166.000000,0,0.999808
46,57151.343680,10575.204630,9254,7761326.066000,108283924.481035,20477231.733996,7761326.066001,80045366.681021,0.189107,8.182654,2342.490000,0,0.999689
47,60192.753733,11465.501910,9415,8117543.540000,108283924.481035,20722898.821996,8117543.540001,79443482.119021,0.191376,21.990582,1784.300000,0,0.999628
48,58008.230050,11071.772206,9221,7822742.974000,108283924.481035,20359662.403996,7822742.974001,80101519.103021,0.188021,0.000000,0.000000,0,1.000000
49,55511.506017,10289.476519,9451,7534961.564000,108283924.481035,21108947.146996,7534961.564001,79640015.770021,0.194941,12.260114,2217.200000,0,0.999614
50,59116.685342,11257.800203,9394,7975407.434000,108283924.481035,20738691.760996,7975407.434001,79569825.286020,0.191521,6.440535,929.000000,0,0.999606
51,58449.817996,11681.811428,9017,7794666.714000,108283924.481035,19836742.474996,7794666.714001,80652515.292021,0.183192,0.006284,0.500000,0,1.000000
52,58980.462683,11451.627828,9485,7921009.722000,108283924.481035,21005416.051996,7921009.722001,79357498.707021,0.193985,2.776523,537.370000,0,0.999720
53,60351.004964,11129.842652,10139,8203527.052000,108283924.481035,22585581.986996,8203527.052001,77494815.442020,0.208577,0.000000,0.000000,0,1.000000
54,59540.387882,10955.623828,9813,8096486.390000,108283924.481035,21781022.197996,8096486.390001,78406415.893020,0.201147,5.845713,458.000000,0,0.999231
55,56867.452981,10541.653585,10140,7720966.566000,108283924.481035,22829494.350997,7720966.566001,77733463.564020,0.210830,0.000000,0.000000,0,1.000000
56,55521.770587,10935.571905,9385,7429675.654000,108283924.481035,20987868.263996,7429675.654001,79866380.563020,0.193823,8.144758,1419.800000,0,0.999231
57,59488.436476,10993.622174,9637,8082448.252000,108283924.481035,21324783.199996,8082448.252001,78876693.029021,0.196934,0.124790,18.000000,0,0.999992
58,56025.757266,10306.020758,9353,7617435.360000,108283924.481035,20809759.743996,7617435.360001,79856729.377020,0.192178,15.124348,2188.100000,0,0.999100
59,56523.816717,10681.738503,8921,7640247.504000,108283924.481035,19661265.862996,7640247.504001,80982411.114022,0.181571,0.593190,284.840000,0,0.999974
60,57721.111511,11769.019675,8677,7654285.518000,108283924.481035,19012002.819996,7654285.518001,81617636.143022,0.175575,26.378728,1831.540000,0,0.999628
61,55396.120239,10923.352539,8850,7412127.950000,108283924.481035,19588443.115996,7412127.950001,81283353.415022,0.180899,0.000000,0.000000,0,1.000000
62,57438.274304,10107.239543,9878,7885914.512000,108283924.481035,22057397.652996,7885914.512001,78340612.316020,0.203700,15.547689,428.400000,0,0.995507
63,58049.430073,11096.723321,9343,7824497.638000,108283924.481035,20679907.055996,7824497.638001,79779519.787021,0.190979,5.720923,440.000000,0,0.999231
64,55237.037143,10126.833119,9395,7517413.850000,108283924.481035,20970320.701996,7517413.850001,79796189.929021,0.193661,5.720923,440.000000,0,0.999231
65,58094.595027,11488.735923,9746,7766590.408000,108283924.481035,21769616.235997,7766590.408001,78747717.837021,0.201042,6.316656,911.000000,0,0.999614
66,56223.867520,10866.698668,9089,7559528.142000,108283924.481035,20143826.363996,7559528.142001,80580569.975022,0.186028,0.000000,0.000000,0,1.000000
67,57677.751644,10535.529469,9563,7856083.542000,108283924.481035,21243186.643996,7856083.542001,79184654.295021,0.196180,5.720923,440.000000,0,0.999231
68,57859.016111,10912.029407,9124,7824497.784000,108283924.481035,20103466.691996,7824497.784001,80355960.005020,0.185655,0.000000,0.000000,0,1.000000
69,59026.602254,10339.608302,10226,8114033.972000,108283924.481035,22859325.376996,8114033.972001,77310565.132020,0.211105,2.790120,256.680000,0,0.999891
70,56308.746140,10498.847792,9677,7634983.058000,108283924.481035,21653801.755996,7634983.058001,78995139.667021,0.199972,0.000000,0.000000,0,1.000000
71,55466.419865,10634.574558,9365,7470035.284000,108283924.481035,20915045.595996,7470035.284001,79898843.601021,0.193150,11.633603,125.240000,0,0.999432
72,59148.776229,10821.613879,9593,8054371.880000,108283924.481035,21223006.912996,8054371.880001,79006545.688021,0.195994,0.931070,363.250000,0,0.999879
73,57393.187937,10990.793627,9233,7731495.108000,108283924.481035,20436872.123996,7731495.108001,80115557.249022,0.188734,13.423662,3196.540000,0,0.999766
74,59394.115390,11003.143038,9478,8064900.644000,108283924.481035,20915045.533996,8064900.644001,79303978.303020,0.193150,1.568488,637.880000,0,0.999996
75,56826.705219,10688.630176,9127,7687626.172000,108283924.481035,20179798.987996,7687626.172001,80416499.321021,0.186360,12.318010,1463.880000,0,0.999376
76,59196.499964,10564.934547,10198,8105260.074000,108283924.481035,22790012.195996,8105260.074001,77388652.211021,0.210465,0.004973,0.500000,0,1.000000
77,56505.047893,11196.107744,10130,7548999.576000,108283924.481035,22889156.443997,7548999.576001,77845768.461020,0.211381,14.942694,1740.700000,0,0.997535
78,58477.526099,11404.197215,9329,7845554.814000,108283924.481035,20632528.487997,7845554.814001,79805841.179021,0.190541,0.000000,0.000000,0,1.000000
79,58390.147566,10899.893522,10032,7913990.872000,108283924.481035,22448710.234996,7913990.872001,77921223.374020,0.207313,6.308812,910.000000,0,0.999614
80,55668.239565,10787.412125,9185,7478809.054000,108283924.481035,20436872.056996,7478809.054001,80368243.370020,0.188734,7.973117,649.200000,0,0.999231
81,61252.357438,11198.120521,10200,8342153.452000,108283924.481035,22676829.764996,8342153.452001,77264941.264020,0.209420,1.316205,376.700000,0,0.999920
82,58686.122634,11469.257537,9009,7866612.124000,108283924.481035,19779712.580996,7866612.124001,80637599.776021,0.182665,17.192353,4296.700000,0,0.999423
83,56199.116746,10619.974163,9093,7596378.080000,108283924.481035,20135929.977996,7596378.080001,80551616.423021,0.185955,0.874103,172.000000,0,0.999972
84,60418.158852,11832.865854,9369,8096486.422000,108283924.481035,20612348.515996,8096486.422001,79575089.543021,0.190355,6.374466,1712.500000,0,0.999656
85,55284.026217,10467.842799,8721,7463016.038000,108283924.481035,19223452.030996,7463016.038001,81597456.412021,0.177528,38.087190,5374.900000,0,0.998647
86,55527.452324,10801.998956,9182,7454242.228000,108283924.481035,20441259.044996,7454242.228001,80388423.208021,0.188775,0.000000,0.000000,0,1.000000
87,57319.656699,10700.605279,8902,7768345.172000,108283924.481035,19547206.180996,7768345.172001,80968373.128021,0.180518,8.980389,1355.440000,0,0.998904
88,57381.718163,10139.440842,9624,7871876.396000,108283924.481035,21395851.240996,7871876.396001,79016196.844020,0.197590,11.018945,976.500000,0,0.998972
89,57595.480616,10974.880256,9832,7770100.060000,108283924.481035,21994226.116996,7770100.060001,78519598.304021,0.203116,0.000000,0.000000,0,1.000000
90,55967.558337,10461.488601,9715,7582340.000000,108283924.481035,21780144.888997,7582340.000001,78921439.592020,0.201139,12.029735,1350.000000,0,0.999231
91,58761.034264,10327.260602,10177,8071919.720000,108283924.481035,22751407.270996,8071919.720001,77460597.490020,0.210109,2.255342,611.500000,0,0.999876
92,60341.229464,11035.839788,9879,8217564.946000,108283924.481035,21894204.618996,8217564.946001,78172154.916020,0.202193,0.000000,0.000000,0,1.000000
93,58090.236700,10785.277840,8916,7884159.810000,108283924.481035,19526148.971996,7884159.810001,80873615.699022,0.180324,0.000000,0.000000,0,1.000000
94,56982.737554,10494.298031,9502,7745533.500000,108283924.481035,21137900.688996,7745533.500001,79400490.292021,0.195208,15.238523,4426.250000,0,0.998826
95,56126.771544,10041.352574,9630,7678852.216000,108283924.481035,21508156.230996,7678852.216001,79096916.034020,0.198627,12.305675,1461.180000,0,0.999614
96,57036.373502,10457.459971,9534,7763080.908000,108283924.481035,21213355.658996,7763080.908001,79307487.914020,0.195905,0.428083,32.680000,0,0.999965
97,58161.465647,10637.257029,9608,7919254.958000,108283924.481035,21330047.573996,7919254.958001,79034621.949021,0.196983,8.678870,990.600000,0,0.999476
98,55085.668930,10616.988704,9157,7410373.282000,108283924.481035,20397389.785995,7410373.282001,80476161.413022,0.188370,6.440535,929.000000,0,0.999606
99,59387.975001,10911.480460,10289,8077183.960000,108283924.481035,23043575.668996,8077183.960001,77163164.852020,0.212807,13.390782,986.240000,0,0.999614
100,60118.312107,11278.592307,9760,8138600.594000,108283924.481035,21620461.224997,8138600.594001,78524862.662020,0.199665,8.116236,632.600000,0,0.999495
