id1,id2,boundary
1,1,2632.149
2,2,2632.149
3,3,2632.149
4,4,2632.149
5,5,2632.149
6,6,2632.149
7,7,2632.149
8,8,2632.149
9,9,2632.149
10,10,2632.149
11,11,2632.149
12,12,2632.149
13,13,2632.149
14,14,2632.149
15,1,877.383
15,15,1754.765
16,1,877.383
16,2,877.383
16,16,877.382
17,2,877.383
17,3,877.383
17,17,877.382
18,3,877.383
18,4,877.383
18,18,877.382
19,4,877.383
19,5,877.383
19,19,877.382
20,5,877.383
20,20,1754.765
21,21,2632.149
22,6,877.383
22,22,1754.765
23,6,877.383
23,7,877.383
23,23,877.382
24,7,877.383
24,8,877.383
24,24,877.382
25,8,877.383
25,9,877.383
25,25,877.382
26,9,877.383
26,26,1754.765
27,27,2632.149
28,28,2632.149
29,10,877.383
29,29,1754.765
30,10,877.383
30,11,877.383
30,30,877.382
31,11,877.383
31,12,877.383
31,31,877.382
32,12,877.383
32,13,877.383
32,32,877.382
33,13,877.383
33,14,877.383
33,33,877.382
34,14,877.383
34,34,1754.765
35,35,2632.149
36,36,2632.149
37,37,2632.149
38,38,2632.149
39,39,2632.149
40,40,2632.15
41,15,877.383
41,41,1754.765
42,1,877.382
42,15,877.383
42,16,877.383
43,2,877.382
43,16,877.383
43,17,877.383
44,3,877.382
44,17,877.383
44,18,877.383
45,4,877.382
45,18,877.383
45,19,877.383
46,5,877.382
46,19,877.383
46,20,877.383
47,20,877.383
47,47,1754.765
48,21,877.383
48,48,1754.765
49,21,877.383
49,22,877.383
49,49,877.382
50,6,877.382
50,22,877.383
50,23,877.383
51,7,877.382
51,23,877.383
51,24,877.383
52,8,877.382
52,24,877.383
52,25,877.383
53,9,877.382
53,25,877.383
53,26,877.383
54,26,877.383
54,27,877.383
54,54,877.382
55,27,877.383
55,28,877.383
55,55,877.382
56,28,877.383
56,29,877.383
56,56,877.382
57,10,877.382
57,29,877.383
57,30,877.383
58,11,877.382
58,30,877.383
58,31,877.383
59,12,877.382
59,31,877.383
59,32,877.383
60,13,877.382
60,32,877.383
60,33,877.383
61,14,877.382
61,33,877.383
61,34,877.383
62,34,877.383
62,35,877.383
62,62,877.382
63,35,877.383
63,36,877.383
63,63,877.382
64,36,877.383
64,37,877.383
64,64,877.382
65,37,877.383
65,38,877.383
65,65,877.382
66,38,877.383
66,39,877.383
66,66,877.382
67,39,877.383
67,67,1754.765
68,68,2632.149
69,69,2632.149
70,70,2632.149
71,40,877.382
71,71,1754.766
72,40,877.383
72,41,877.383
72,72,877.382
73,15,877.382
73,41,877.383
73,42,877.383
74,16,877.382
74,42,877.383
74,43,877.383
75,17,877.382
75,43,877.383
75,44,877.383
76,18,877.382
76,44,877.383
76,45,877.383
77,19,877.382
77,45,877.383
77,46,877.383
78,20,877.382
78,46,877.383
78,47,877.383
79,47,877.383
79,48,877.383
79,79,877.382
80,21,877.382
80,48,877.383
80,49,877.383
81,22,877.382
81,49,877.383
81,50,877.383
82,23,877.382
82,50,877.383
82,51,877.383
83,24,877.382
83,51,877.383
83,52,877.383
84,25,877.382
84,52,877.383
84,53,877.383
85,26,877.382
85,53,877.383
85,54,877.383
86,27,877.382
86,54,877.383
86,55,877.383
87,28,877.382
87,55,877.383
87,56,877.383
88,29,877.382
88,56,877.383
88,57,877.383
89,30,877.382
89,57,877.383
89,58,877.383
90,31,877.382
90,58,877.383
90,59,877.383
91,32,877.382
91,59,877.383
91,60,877.383
92,33,877.382
92,60,877.383
92,61,877.383
93,34,877.382
93,61,877.383
93,62,877.383
94,35,877.382
94,62,877.383
94,63,877.383
95,36,877.382
95,63,877.383
95,64,877.383
96,37,877.382
96,64,877.383
96,65,877.383
97,38,877.382
97,65,877.383
97,66,877.383
98,39,877.382
98,66,877.383
98,67,877.383
99,67,877.383
99,68,877.383
99,99,877.382
100,68,877.383
100,69,877.383
100,100,877.382
101,69,877.383
101,70,877.383
101,101,877.382
102,70,877.383
102,102,1754.765
103,103,2632.149
104,104,2632.149
105,105,2632.149
106,106,2632.149
107,71,877.381
107,107,2632.147
108,40,877.384
108,71,877.381
108,72,877.382
109,41,877.382
109,72,877.382
109,73,877.382
110,42,877.382
110,73,877.382
110,74,877.382
111,43,877.382
111,74,877.382
111,75,877.382
112,44,877.382
112,75,877.382
112,76,877.382
113,45,877.382
113,76,877.382
113,77,877.382
114,46,877.382
114,77,877.382
114,78,877.382
115,47,877.382
115,78,877.382
115,79,877.382
116,48,877.382
116,79,877.382
116,80,877.382
117,49,877.382
117,80,877.382
117,81,877.382
118,50,877.382
118,81,877.382
118,82,877.382
119,51,877.382
119,82,877.382
119,83,877.382
120,52,877.382
120,83,877.382
120,84,877.382
121,53,877.382
121,84,877.382
121,85,877.382
122,54,877.382
122,85,877.382
122,86,877.382
123,55,877.382
123,86,877.382
123,87,877.382
124,56,877.382
124,87,877.382
124,88,877.382
125,57,877.382
125,88,877.382
125,89,877.382
126,58,877.382
126,89,877.382
126,90,877.382
127,59,877.382
127,90,877.382
127,91,877.382
128,60,877.382
128,91,877.382
128,92,877.382
129,61,877.382
129,92,877.382
129,93,877.382
130,62,877.382
130,93,877.382
130,94,877.382
131,63,877.382
131,94,877.382
131,95,877.382
132,64,877.382
132,95,877.382
132,96,877.382
133,65,877.382
133,96,877.382
133,97,877.382
134,66,877.382
134,97,877.382
134,98,877.382
135,67,877.382
135,98,877.382
135,99,877.382
136,68,877.382
136,99,877.382
136,100,877.382
137,69,877.382
137,100,877.382
137,101,877.382
138,70,877.382
138,101,877.382
138,102,877.382
139,102,877.382
139,139,1754.764
140,140,2632.145
141,103,877.382
141,141,1754.764
142,103,877.382
142,104,877.382
142,142,877.382
143,104,877.382
143,105,877.382
143,143,877.382
144,105,877.382
144,106,877.382
144,144,877.382
145,106,877.382
145,145,1754.764
146,146,2632.145
147,71,877.384
147,107,877.382
147,108,877.382
148,72,877.382
148,108,877.383
148,109,877.383
149,73,877.382
149,109,877.383
149,110,877.383
150,74,877.382
150,110,877.383
150,111,877.383
151,75,877.382
151,111,877.383
151,112,877.383
152,76,877.382
152,112,877.383
152,113,877.383
153,77,877.382
153,113,877.383
153,114,877.383
154,78,877.382
154,114,877.383
154,115,877.383
155,79,877.382
155,115,877.383
155,116,877.383
156,80,877.382
156,116,877.383
156,117,877.383
157,81,877.382
157,117,877.383
157,118,877.383
158,82,877.382
158,118,877.383
158,119,877.383
159,83,877.382
159,119,877.383
159,120,877.383
160,84,877.382
160,120,877.383
160,121,877.383
161,85,877.382
161,121,877.383
161,122,877.383
162,86,877.382
162,122,877.383
162,123,877.383
163,87,877.382
163,123,877.383
163,124,877.383
164,88,877.382
164,124,877.383
164,125,877.383
165,89,877.382
165,125,877.383
165,126,877.383
166,90,877.382
166,126,877.383
166,127,877.383
167,91,877.382
167,127,877.383
167,128,877.383
168,92,877.382
168,128,877.383
168,129,877.383
169,93,877.382
169,129,877.383
169,130,877.383
170,94,877.382
170,130,877.383
170,131,877.383
171,95,877.382
171,131,877.383
171,132,877.383
172,96,877.382
172,132,877.383
172,133,877.383
173,97,877.382
173,133,877.383
173,134,877.383
174,98,877.382
174,134,877.383
174,135,877.383
175,99,877.382
175,135,877.383
175,136,877.383
176,100,877.382
176,136,877.383
176,137,877.383
177,101,877.382
177,137,877.383
177,138,877.383
178,102,877.382
178,138,877.383
178,139,877.383
179,139,877.383
179,140,877.383
179,179,877.382
180,140,877.383
180,180,1754.765
181,181,2632.149
182,141,877.383
182,182,1754.765
183,103,877.382
183,141,877.383
183,142,877.383
184,104,877.382
184,142,877.383
184,143,877.383
185,105,877.382
185,143,877.383
185,144,877.383
186,106,877.382
186,144,877.383
186,145,877.383
187,145,877.383
187,146,877.383
187,187,877.382
188,146,877.383
188,188,1754.765
189,107,877.384
189,147,877.382
189,189,877.382
190,108,877.384
190,147,877.382
190,148,877.383
191,109,877.382
191,148,877.383
191,149,877.383
192,110,877.382
192,149,877.383
192,150,877.383
193,111,877.382
193,150,877.383
193,151,877.383
194,112,877.382
194,151,877.383
194,152,877.383
195,113,877.382
195,152,877.383
195,153,877.383
196,114,877.382
196,153,877.383
196,154,877.383
197,115,877.382
197,154,877.383
197,155,877.383
198,116,877.382
198,155,877.383
198,156,877.383
199,117,877.382
199,156,877.383
199,157,877.383
200,118,877.382
200,157,877.383
200,158,877.383
201,119,877.382
201,158,877.383
201,159,877.383
202,120,877.382
202,159,877.383
202,160,877.383
203,121,877.382
203,160,877.383
203,161,877.383
204,122,877.382
204,161,877.383
204,162,877.383
205,123,877.382
205,162,877.383
205,163,877.383
206,124,877.382
206,163,877.383
206,164,877.383
207,125,877.382
207,164,877.383
207,165,877.383
208,126,877.382
208,165,877.383
208,166,877.383
209,127,877.382
209,166,877.383
209,167,877.383
210,128,877.382
210,167,877.383
210,168,877.383
211,129,877.382
211,168,877.383
211,169,877.383
212,130,877.382
212,169,877.383
212,170,877.383
213,131,877.382
213,170,877.383
213,171,877.383
214,132,877.382
214,171,877.383
214,172,877.383
215,133,877.382
215,172,877.383
215,173,877.383
216,134,877.382
216,173,877.383
216,174,877.383
217,135,877.382
217,174,877.383
217,175,877.383
218,136,877.382
218,175,877.383
218,176,877.383
219,137,877.382
219,176,877.383
219,177,877.383
220,138,877.382
220,177,877.383
220,178,877.383
221,139,877.382
221,178,877.383
221,179,877.383
222,140,877.382
222,179,877.383
222,180,877.383
223,180,877.383
223,223,1754.765
224,181,877.383
224,224,1754.765
225,181,877.383
225,182,877.383
225,225,877.382
226,141,877.382
226,182,877.383
226,183,877.383
227,142,877.382
227,183,877.383
227,184,877.383
228,143,877.382
228,184,877.383
228,185,877.383
229,144,877.382
229,185,877.383
229,186,877.383
230,145,877.382
230,186,877.383
230,187,877.383
231,146,877.382
231,187,877.383
231,188,877.383
232,188,877.383
232,232,1754.765
233,189,877.382
233,233,1754.766
234,147,877.384
234,189,877.382
234,190,877.382
235,148,877.382
235,190,877.383
235,191,877.383
236,149,877.382
236,191,877.383
236,192,877.383
237,150,877.382
237,192,877.383
237,193,877.383
238,151,877.382
238,193,877.383
238,194,877.383
239,152,877.382
239,194,877.383
239,195,877.383
240,153,877.382
240,195,877.383
240,196,877.383
241,154,877.382
241,196,877.383
241,197,877.383
242,155,877.382
242,197,877.383
242,198,877.383
243,156,877.382
243,198,877.383
243,199,877.383
244,157,877.382
244,199,877.383
244,200,877.383
245,158,877.382
245,200,877.383
245,201,877.383
246,159,877.382
246,201,877.383
246,202,877.383
247,160,877.382
247,202,877.383
247,203,877.383
248,161,877.382
248,203,877.383
248,204,877.383
249,162,877.382
249,204,877.383
249,205,877.383
250,163,877.382
250,205,877.383
250,206,877.383
251,164,877.382
251,206,877.383
251,207,877.383
252,165,877.382
252,207,877.383
252,208,877.383
253,166,877.382
253,208,877.383
253,209,877.383
254,167,877.382
254,209,877.383
254,210,877.383
255,168,877.382
255,210,877.383
255,211,877.383
256,169,877.382
256,211,877.383
256,212,877.383
257,170,877.382
257,212,877.383
257,213,877.383
258,171,877.382
258,213,877.383
258,214,877.383
259,172,877.382
259,214,877.383
259,215,877.383
260,173,877.382
260,215,877.383
260,216,877.383
261,174,877.382
261,216,877.383
261,217,877.383
262,175,877.382
262,217,877.383
262,218,877.383
263,176,877.382
263,218,877.383
263,219,877.383
264,177,877.382
264,219,877.383
264,220,877.383
265,178,877.382
265,220,877.383
265,221,877.383
266,179,877.382
266,221,877.383
266,222,877.383
267,180,877.382
267,222,877.383
267,223,877.383
268,223,877.383
268,224,877.383
268,268,877.382
269,181,877.382
269,224,877.383
269,225,877.383
270,182,877.382
270,225,877.383
270,226,877.383
271,183,877.382
271,226,877.383
271,227,877.383
272,184,877.382
272,227,877.383
272,228,877.383
273,185,877.382
273,228,877.383
273,229,877.383
274,186,877.382
274,229,877.383
274,230,877.383
275,187,877.382
275,230,877.383
275,231,877.383
276,188,877.382
276,231,877.383
276,232,877.383
277,232,877.383
277,277,1754.765
278,278,2632.149
279,233,877.382
279,279,1754.766
280,189,877.384
280,233,877.382
280,234,877.382
281,190,877.384
281,234,877.382
281,235,877.383
282,191,877.382
282,235,877.383
282,236,877.383
283,192,877.382
283,236,877.383
283,237,877.383
284,193,877.382
284,237,877.383
284,238,877.383
285,194,877.382
285,238,877.383
285,239,877.383
286,195,877.382
286,239,877.383
286,240,877.383
287,196,877.382
287,240,877.383
287,241,877.383
288,197,877.382
288,241,877.383
288,242,877.383
289,198,877.382
289,242,877.383
289,243,877.383
290,199,877.382
290,243,877.383
290,244,877.383
291,200,877.382
291,244,877.383
291,245,877.383
292,201,877.382
292,245,877.383
292,246,877.383
293,202,877.382
293,246,877.383
293,247,877.383
294,203,877.382
294,247,877.383
294,248,877.383
295,204,877.382
295,248,877.383
295,249,877.383
296,205,877.382
296,249,877.383
296,250,877.383
297,206,877.382
297,250,877.383
297,251,877.383
298,207,877.382
298,251,877.383
298,252,877.383
299,208,877.382
299,252,877.383
299,253,877.383
300,209,877.382
300,253,877.383
300,254,877.383
301,210,877.382
301,254,877.383
301,255,877.383
302,211,877.382
302,255,877.383
302,256,877.383
303,212,877.382
303,256,877.383
303,257,877.383
304,213,877.382
304,257,877.383
304,258,877.383
305,214,877.382
305,258,877.383
305,259,877.383
306,215,877.382
306,259,877.383
306,260,877.383
307,216,877.382
307,260,877.383
307,261,877.383
308,217,877.382
308,261,877.383
308,262,877.383
309,218,877.382
309,262,877.383
309,263,877.383
310,219,877.382
310,263,877.383
310,264,877.383
311,220,877.382
311,264,877.383
311,265,877.383
312,221,877.382
312,265,877.383
312,266,877.383
313,222,877.382
313,266,877.383
313,267,877.383
314,223,877.382
314,267,877.383
314,268,877.383
315,224,877.382
315,268,877.383
315,269,877.383
316,225,877.382
316,269,877.383
316,270,877.383
317,226,877.382
317,270,877.383
317,271,877.383
318,227,877.382
318,271,877.383
318,272,877.383
319,228,877.382
319,272,877.383
319,273,877.383
320,229,877.382
320,273,877.383
320,274,877.383
321,230,877.382
321,274,877.383
321,275,877.383
322,231,877.382
322,275,877.383
322,276,877.383
323,232,877.382
323,276,877.383
323,277,877.383
324,277,877.383
324,278,877.383
324,324,877.382
325,278,877.383
325,325,1754.765
326,326,2632.149
327,279,877.382
327,327,2632.149
328,233,877.384
328,279,877.382
328,280,877.382
329,234,877.384
329,280,877.382
329,281,877.382
330,235,877.382
330,281,877.383
330,282,877.383
331,236,877.382
331,282,877.383
331,283,877.383
332,237,877.382
332,283,877.383
332,284,877.383
333,238,877.382
333,284,877.383
333,285,877.383
334,239,877.382
334,285,877.383
334,286,877.383
335,240,877.382
335,286,877.383
335,287,877.383
336,241,877.382
336,287,877.383
336,288,877.383
337,242,877.382
337,288,877.383
337,289,877.383
338,243,877.382
338,289,877.383
338,290,877.383
339,244,877.382
339,290,877.383
339,291,877.383
340,245,877.382
340,291,877.383
340,292,877.383
341,246,877.382
341,292,877.383
341,293,877.383
342,247,877.382
342,293,877.383
342,294,877.383
343,248,877.382
343,294,877.383
343,295,877.383
344,249,877.382
344,295,877.383
344,296,877.383
345,250,877.382
345,296,877.383
345,297,877.383
346,251,877.382
346,297,877.383
346,298,877.383
347,252,877.382
347,298,877.383
347,299,877.383
348,253,877.382
348,299,877.383
348,300,877.383
349,254,877.382
349,300,877.383
349,301,877.383
350,255,877.382
350,301,877.383
350,302,877.383
351,256,877.382
351,302,877.383
351,303,877.383
352,257,877.382
352,303,877.383
352,304,877.383
353,258,877.382
353,304,877.383
353,305,877.383
354,259,877.382
354,305,877.383
354,306,877.383
355,260,877.382
355,306,877.383
355,307,877.383
356,261,877.382
356,307,877.383
356,308,877.383
357,262,877.382
357,308,877.383
357,309,877.383
358,263,877.382
358,309,877.383
358,310,877.383
359,264,877.382
359,310,877.383
359,311,877.383
360,265,877.382
360,311,877.383
360,312,877.383
361,266,877.382
361,312,877.383
361,313,877.383
362,267,877.382
362,313,877.383
362,314,877.383
363,268,877.382
363,314,877.383
363,315,877.383
364,269,877.382
364,315,877.383
364,316,877.383
365,270,877.382
365,316,877.383
365,317,877.383
366,271,877.382
366,317,877.383
366,318,877.383
367,272,877.382
367,318,877.383
367,319,877.383
368,273,877.382
368,319,877.383
368,320,877.383
369,274,877.382
369,320,877.383
369,321,877.383
370,275,877.382
370,321,877.383
370,322,877.383
371,276,877.382
371,322,877.383
371,323,877.383
372,277,877.382
372,323,877.383
372,324,877.383
373,278,877.382
373,324,877.383
373,325,877.383
374,325,877.383
374,326,877.383
374,374,877.382
375,326,877.383
375,375,1754.765
376,376,2632.149
377,377,2632.149
378,279,877.384
378,327,877.382
378,328,877.382
379,280,877.384
379,328,877.382
379,329,877.382
380,281,877.384
380,329,877.382
380,330,877.383
381,282,877.382
381,330,877.383
381,331,877.383
382,283,877.382
382,331,877.383
382,332,877.383
383,284,877.382
383,332,877.383
383,333,877.383
384,285,877.382
384,333,877.383
384,334,877.383
385,286,877.382
385,334,877.383
385,335,877.383
386,287,877.382
386,335,877.383
386,336,877.383
387,288,877.382
387,336,877.383
387,337,877.383
388,289,877.382
388,337,877.383
388,338,877.383
389,290,877.382
389,338,877.383
389,339,877.383
390,291,877.382
390,339,877.383
390,340,877.383
391,292,877.382
391,340,877.383
391,341,877.383
392,293,877.382
392,341,877.383
392,342,877.383
393,294,877.382
393,342,877.383
393,343,877.383
394,295,877.382
394,343,877.383
394,344,877.383
395,296,877.382
395,344,877.383
395,345,877.383
396,297,877.382
396,345,877.383
396,346,877.383
397,298,877.382
397,346,877.383
397,347,877.383
398,299,877.382
398,347,877.383
398,348,877.383
399,300,877.382
399,348,877.383
399,349,877.383
400,301,877.382
400,349,877.383
400,350,877.383
401,302,877.382
401,350,877.383
401,351,877.383
402,303,877.382
402,351,877.383
402,352,877.383
403,304,877.382
403,352,877.383
403,353,877.383
404,305,877.382
404,353,877.383
404,354,877.383
405,306,877.382
405,354,877.383
405,355,877.383
406,307,877.382
406,355,877.383
406,356,877.383
407,308,877.382
407,356,877.383
407,357,877.383
408,309,877.382
408,357,877.383
408,358,877.383
409,310,877.382
409,358,877.383
409,359,877.383
410,311,877.382
410,359,877.383
410,360,877.383
411,312,877.382
411,360,877.383
411,361,877.383
412,313,877.382
412,361,877.383
412,362,877.383
413,314,877.382
413,362,877.383
413,363,877.383
414,315,877.382
414,363,877.383
414,364,877.383
415,316,877.382
415,364,877.383
415,365,877.383
416,317,877.382
416,365,877.383
416,366,877.383
417,318,877.382
417,366,877.383
417,367,877.383
418,319,877.382
418,367,877.383
418,368,877.383
419,320,877.382
419,368,877.383
419,369,877.383
420,321,877.382
420,369,877.383
420,370,877.383
421,322,877.382
421,370,877.383
421,371,877.383
422,323,877.382
422,371,877.383
422,372,877.383
423,324,877.382
423,372,877.383
423,373,877.383
424,325,877.382
424,373,877.383
424,374,877.383
425,326,877.382
425,374,877.383
425,375,877.383
426,375,877.383
426,376,877.383
426,426,877.382
427,376,877.383
427,377,877.383
427,427,877.382
428,377,877.383
428,428,1754.765
429,327,877.384
429,378,877.381
429,429,877.381
430,328,877.384
430,378,877.381
430,379,877.381
431,329,877.384
431,379,877.381
431,380,877.381
432,330,877.382
432,380,877.382
432,381,877.382
433,331,877.382
433,381,877.382
433,382,877.382
434,332,877.382
434,382,877.382
434,383,877.382
435,333,877.382
435,383,877.382
435,384,877.382
436,334,877.382
436,384,877.382
436,385,877.382
437,335,877.382
437,385,877.382
