species,pu,amount
4616,1537,102
4615,1537,27509
4670,1537,27611
2000729,1612,9085
2000329,1612,9085
4615,1620,126372
4616,1620,172614
4670,1620,298986
4624,1628,118645
4625,1628,172915
4672,1628,291560
2000729,1628,347765
2000305,1628,347775
4643,1697,14384
4672,1697,14384
2000729,1697,15713
2000329,1697,15720
4615,1704,11298
4616,1704,16701
4670,1704,27999
4618,1706,22437
4670,1706,22437
4618,1707,148239
4670,1707,148239
4642,1709,52558
4643,1709,80961
4672,1709,133519
2000729,1709,381929
2000305,1709,381929
4643,1710,72734
4642,1710,246789
2000729,1710,274992
2000305,1710,274994
2000500,1710,291934
4672,1710,319523
4624,1712,37620
4625,1712,131909
4672,1712,169529
2000729,1713,39952
2000305,1713,39960
4624,1713,96855
4625,1713,498130
4672,1713,594985
4642,1718,23828
4643,1718,97825
2000861,1718,120595
2000305,1718,120596
4672,1718,121653
4642,1721,88
4672,1721,88
4618,1792,42846
4670,1792,42846
4618,1793,150734
4670,1793,150734
4618,1794,42126
4670,1794,42126
4642,1795,10296
2000500,1795,13822
2000729,1795,30690
2000305,1795,30690
4643,1795,56332
4672,1795,66628
4642,1796,4759
4634,1796,17061
4643,1796,98398
4672,1796,120218
2000500,1796,123573
2000729,1796,255908
2000305,1796,255911
4642,1797,1675
2000729,1797,7443
2000305,1797,7443
4634,1797,34966
4672,1797,36641
4612,1798,38614
4670,1798,38614
4625,1799,61546
4672,1799,61546
2000729,1799,180480
2000305,1799,180498
4625,1800,217031
4624,1800,243517
4672,1800,460548
2000861,1804,9114
2000305,1804,9114
4643,1804,34942
4672,1804,34942
4643,1805,4817
4642,1805,12091
4672,1805,16908
2000729,1808,8231
2000305,1808,8232
2000500,1808,15638
4643,1808,38602
4642,1808,73425
4672,1808,112027
4643,1871,68325
4672,1871,68325
2000729,1871,164342
2000305,1871,164374
2000500,1871,281482
4618,1877,116869
4670,1877,116869
4618,1878,10043
4670,1878,10043
4618,1879,20648
4670,1879,20648
4618,1880,133119
4670,1880,133119
2000729,1881,30743
2000305,1881,30743
4616,1881,47830
4615,1881,58359
4618,1881,361128
4670,1881,467317
2000820,1883,3717
4634,1883,44895
4643,1883,57927
4672,1883,102822
