spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
2000968,0,2.63765e+007,0,0,0,24,0,0,0
2000967,1,6.72374e+007,0,0,0,103,0,0,0
2000966,2,2.15226e+006,0,0,0,8,0,0,0
2000965,3,28489,0,0,0,2,0,0,0
2000964,4,2.97611e+007,0,0,0,23,0,0,0
2000961,5,2.7917e+008,0,0,0,342,0,0,0
2000960,6,8.03284e+006,0,0,0,18,0,0,0
2000957,7,4.45362e+007,0,0,0,72,0,0,0
2000955,8,1.63598e+008,0,0,0,222,0,0,0
2000953,9,8.06258e+007,0,0,0,90,0,0,0
2000952,10,1.14225e+007,0,0,0,55,0,0,0
2000947,11,7.20147e+007,0,0,0,170,0,0,0
2000944,12,3.63887e+006,0,0,0,14,0,0,0
2000941,13,4.13833e+008,0,0,0,549,0,0,0
2000940,14,1.45794e+007,0,0,0,28,0,0,0
2000938,15,1.34616e+008,0,0,0,454,0,0,0
2000937,16,1.02768e+007,0,0,0,93,0,0,0
2000936,17,6.51015e+007,0,0,0,90,0,0,0
2000935,18,1.6863e+006,0,0,0,8,0,0,0
2000934,19,3.1472e+007,0,0,0,48,0,0,0
2000933,20,1.35886e+006,0,0,0,4,0,0,0
2000931,21,1.67145e+006,0,0,0,7,0,0,0
2000928,22,8.36727e+007,0,0,0,76,0,0,0
2000926,23,1.21168e+008,0,0,0,115,0,0,0
2000925,24,1.3639e+007,0,0,0,14,0,0,0
2000923,25,4.56375e+008,0,0,0,508,0,0,0
2000920,26,9.06405e+008,0,0,0,626,0,0,0
2000919,27,8.33544e+006,0,0,0,23,0,0,0
2000918,28,2.756e+008,0,0,0,220,0,0,0
2000917,29,4.56333e+008,0,0,0,613,0,0,0
2000915,30,9.61567e+009,0,0,0,6300,0,0,0
2000914,31,3.4837e+008,0,0,0,343,0,0,0
2000913,32,5.34074e+008,0,0,0,602,0,0,0
2000911,33,4.18328e+007,0,0,0,94,0,0,0
2000905,34,4.43556e+006,0,0,0,11,0,0,0
2000904,35,1.19038e+006,0,0,0,9,0,0,0
2000896,36,5.76991e+007,0,0,0,49,0,0,0
2000894,37,1.44768e+008,0,0,0,108,0,0,0
2000892,38,1.96679e+009,0,0,0,1624,0,0,0
2000891,39,1.02207e+008,0,0,0,97,0,0,0
2000890,40,7.95949e+007,0,0,0,80,0,0,0
2000879,41,5.06916e+006,0,0,0,18,0,0,0
2000877,42,4.02509e+006,0,0,0,17,0,0,0
2000866,43,9.16275e+006,0,0,0,11,0,0,0
2000863,44,1.37167e+008,0,0,0,219,0,0,0
2000861,45,1.07408e+009,0,0,0,1186,0,0,0
2000860,46,3.1648e+007,0,0,0,42,0,0,0
2000859,47,9.67442e+007,0,0,0,117,0,0,0
2000857,48,636912,0,0,0,7,0,0,0
2000851,49,266202,0,0,0,11,0,0,0
2000850,50,2.7457e+006,0,0,0,34,0,0,0
2000849,51,881835,0,0,0,9,0,0,0
2000848,52,669859,0,0,0,23,0,0,0
2000847,53,77157,0,0,0,7,0,0,0
2000844,54,1.04969e+006,0,0,0,50,0,0,0
2000843,55,197196,0,0,0,9,0,0,0
2000840,56,61924,0,0,0,9,0,0,0
2000838,57,327580,0,0,0,28,0,0,0
2000836,58,154187,0,0,0,13,0,0,0
2000830,59,1.56757e+006,0,0,0,68,0,0,0
2000824,60,2.69781e+007,0,0,0,451,0,0,0
2000823,61,7898,0,0,0,3,0,0,0
2000821,62,648186,0,0,0,77,0,0,0
2000820,63,1.18286e+007,0,0,0,487,0,0,0
2000819,64,379253,0,0,0,19,0,0,0
2000818,65,4.75256e+006,0,0,0,40,0,0,0
2000817,66,555342,0,0,0,7,0,0,0
2000816,67,6.90028e+006,0,0,0,43,0,0,0
2000815,68,36504,0,0,0,3,0,0,0
2000810,69,168255,0,0,0,13,0,0,0
2000808,70,881194,0,0,0,24,0,0,0
2000807,71,27289,0,0,0,2,0,0,0
2000805,72,725846,0,0,0,50,0,0,0
2000802,73,329140,0,0,0,23,0,0,0
2000801,74,54254,0,0,0,8,0,0,0
2000800,75,41638,0,0,0,5,0,0,0
2000799,76,1.37736e+007,0,0,0,309,0,0,0
2000797,77,1.73481e+008,0,0,0,1460,0,0,0
2000796,78,4.94273e+007,0,0,0,137,0,0,0
