solution,cluster
1,1
2,1
3,1
4,1
5,2
6,3
7,3
8,3
9,1
10,3
11,3
12,2
13,3
14,1
15,3
16,1
17,1
18,1
19,3
20,2
21,3
22,3
23,1
24,3
25,3
26,3
27,3
28,2
29,1
30,3
31,3
32,3
33,3
34,2
35,3
36,2
37,1
38,3
39,3
40,2
41,1
42,3
43,3
44,3
45,1
46,3
47,1
48,1
49,1
50,1
51,2
52,3
53,2
54,3
55,1
56,2
57,1
58,3
59,3
60,1
61,3
62,3
63,3
64,3
65,3
66,2
67,1
68,1
69,3
70,3
71,3
72,1
73,3
74,3
75,3
76,3
77,1
78,1
79,3
80,3
81,1
82,3
83,1
84,1
85,3
86,1
87,3
88,3
89,3
90,1
91,2
92,1
93,3
94,1
95,3
96,2
97,3
98,3
99,3
100,1
