"new_cost","area_m2","perimeter_m","solution","iteration","scenario","best_solution","per_circle_m","fragmentation_m"
8370.76192652666,11530000000.0119,16776372.5109169,"r00001",6,1,"NO",380644.523385942,44.0735948640119
8583.4102847014,11552000000.0119,16895305.273132,"r00002",6,1,"NO",381007.497744108,44.3437606166985
8443.40858630771,11516000000.0123,16670781.6174709,"r00003",6,1,"NO",380413.359380444,43.8228080228874
8139.89333258855,11498000000.0116,16733921.2548837,"r00004",6,1,"NO",380115.941949359,44.0232029445193
8107.79596087604,11520000000.0124,16855509.470863,"r00005",6,1,"NO",380479.420570381,44.3007126261775
7835.70990674795,11490000000.0106,16676496.4306625,"r00006",6,1,"NO",379983.681701097,43.8874015747355
8253.37320486728,11546000000.0118,16849508.0353318,"r00007",6,1,"NO",380908.539039937,44.2350493842963
8059.06871256318,11526000000.0125,16737898.7570491,"r00008",6,1,"NO",380578.490854727,43.9801490606
7811.89766277099,11524000000.0127,16858616.460672,"r00009",6,1,"NO",380545.470292362,44.3011881017006
8274.14111705246,11482000000.0145,16686828.2493418,"r00010",6,1,"NO",379851.375401293,43.9298876612283
7748.80589790586,11502000000.0108,16649894.5847905,"r00011",6,1,"NO",380182.054819129,43.7945304722803
7463.97850989398,11474000000.012,16654219.8885178,"r00012",6,1,"YES",379719.023001624,43.8593246049897
8273.17519317025,11496000000.0119,16802281.9758557,"r00013",6,1,"NO",380082.881202013,44.2068896202809
8478.49200493927,11536000000.0136,16816130.3585555,"r00014",6,1,"NO",380743.55071021,44.1665533853114
8881.81498701336,11524000000.012,16815990.8040845,"r00015",6,1,"NO",380545.47029235,44.1891761086154
8186.44620242609,11470000000.0114,16663411.4008196,"r00016",6,1,"NO",379652.829499325,43.8911819063613
8546.53216959242,11514000000.0091,16594343.1933548,"r00017",6,1,"NO",380380.324483071,43.6256612796841
8120.97192194172,11488000000.0105,16733199.2767579,"r00018",6,1,"NO",379950.609445346,44.0404591038428
8216.97831200655,11480000000.0149,16501278.1458653,"r00019",6,1,"NO",379818.291625128,43.4451907917897
7966.79737239064,11496000000.0117,16569097.6834385,"r00020",6,1,"NO",380082.881202008,43.5933805569956
8251.72690424737,11508000000.0128,16677996.9642698,"r00021",6,1,"NO",380281.202572789,43.8570112102175
8085.80649753008,11494000000.0127,16528965.4092278,"r00022",6,1,"NO",380049.817578701,43.4915756953494
8517.62962567501,11460000000.012,16958195.4205681,"r00023",6,1,"NO",379487.295229638,44.6871229517876
7740.25936236755,11464000000.0138,16737751.8343672,"r00024",6,1,"NO",379553.51760086,44.098529082712
8037.34782223124,11510000000.0129,16535275.0311029,"r00025",6,1,"NO",380314.246080049,43.4779270078211
8314.48909055034,11582000000.0123,16883737.294978,"r00026",6,1,"NO",381501.906228085,44.2559709908342
7696.45316725212,11560000000.0094,16613789.2442094,"r00027",6,1,"NO",381139.402715215,43.5897971342081
7899.7285945653,11522000000.0096,16580842.5966294,"r00028",6,1,"NO",380512.446864445,43.5750334404599
8479.71625285283,11514000000.0132,16926085.1212798,"r00029",6,1,"NO",380380.324483138,44.4977934762505
8190.96370019665,11492000000.0139,16778706.2055037,"r00030",6,1,"NO",380016.751078673,44.152543691502
8263.45860701198,11512000000.0113,16859141.2413074,"r00031",6,1,"NO",380347.286716554,44.3256513983529
8238.93695463879,11520000000.0106,16652174.0529,"r00032",6,1,"NO",380479.420570352,43.7662936616593
8194.51563453842,11542000000.0127,16721117.3430081,"r00033",6,1,"NO",380842.552285185,43.9055910183243
8308.70065027348,11528000000.0106,16719476.2964576,"r00034",6,1,"NO",380611.508552311,43.927931554281
8228.74466358192,11520000000.0131,16738004.2207167,"r00035",6,1,"NO",380479.420570394,43.9918779197676
8006.99195316642,11478000000.0135,16718625.2768119,"r00036",6,1,"NO",379785.204966945,44.0212653314576
7901.22862027077,11492000000.0129,16651650.3541559,"r00037",6,1,"NO",380016.751078656,43.8182009263833
8605.47529162991,11612000000.0117,16968702.4594137,"r00038",6,1,"NO",381995.674810704,44.4211900247886
8127.82187015225,11462000000.0118,16635380.6787251,"r00039",6,1,"NO",379520.40785962,43.8326380722017
8388.27042392934,11532000000.0117,16754358.7741693,"r00040",6,1,"NO",380677.535356288,44.0119450665467
7876.51426033378,11434000000.0129,16529725.6934253,"r00041",6,1,"NO",379056.567816395,43.6075432979488
8135.15811278534,11508000000.0131,16787152.5171212,"r00042",6,1,"NO",380281.202572794,44.144050254253
7663.26335442062,11520000000.0144,16720578.6865516,"r00043",6,1,"NO",380479.420570415,43.9460790323011
8032.59477789455,11560000000.0118,16783144.8060671,"r00044",6,1,"NO",381139.402715254,44.0341373431957
