"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,811168728774.164060,13240048831.000000,1081,15954485.226618,275577496.942233,51769114.713099,15954485.226618,207853897.002508,0.187857,204418612.263976,19.232000,0,0.993424
2,745282864022.370360,12877748378.000000,909,14620091.782487,275577496.942233,42661798.111299,14620091.782487,218295607.048440,0.154809,1400526520.020818,133.426000,0,0.978052
3,798948391470.246220,12376191742.000000,1119,15729781.091023,275577496.942233,53818045.936399,15729781.091023,206029669.914803,0.195292,83145177.095931,7.976000,0,0.999244
4,760974891697.100830,11412573860.000000,927,14981925.375303,275577496.942233,43353930.246600,14981925.375303,217241641.320324,0.157320,466049071.950812,49.444000,0,0.998280
5,716946338941.549320,14821150720.000000,1021,14031483.537601,275577496.942233,49160196.434599,14031483.537601,212385816.970026,0.178390,551011341.499376,54.460000,0,0.993503
6,689466857874.706180,16076052185.000000,868,13448108.046367,275577496.942233,40747437.342700,13448108.046367,221381951.553161,0.147862,985403371.356201,86.712000,0,0.957434
7,763972238185.638550,22450771725.000000,861,14807642.533425,275577496.942233,39872591.394700,14807642.533425,220897263.014102,0.144687,1139339789.388456,109.096000,0,0.980089
8,754453758431.450200,15900660399.000000,1051,14771061.960649,275577496.942233,50329915.767999,14771061.960649,210476519.213577,0.182634,0.000000,0.000000,0,1.000000
9,741382306793.488530,19733781140.000000,849,14412009.786552,275577496.942233,39117043.312400,14412009.786552,222048443.843276,0.141946,1048036325.888619,94.034000,0,0.980772
10,834153304958.633670,12595226856.000000,1055,16374922.166120,275577496.942233,49822613.999199,16374922.166120,209379960.776907,0.180793,2811969796.633405,291.298000,0,0.967084
