id,prop,spf,name
1,0.2,0.08,Cla-29190_surface.grd
2,0.2,0.08,Fis-112805_surface.grd
3,0.2,0.08,Fis-112810_surface.grd
4,0.2,0.08,Fis-112902_surface.grd
5,0.2,0.08,Fis-117893_surface.grd
6,0.2,0.08,Fis-121460_surface.grd
7,0.2,0.08,Fis-124599_surface.grd
8,0.2,0.08,Fis-125812_surface.grd
9,0.2,0.08,Fis-125893_surface.grd
10,0.2,0.08,Fis-126019_surface.grd
11,0.2,0.08,Fis-127090_surface.grd
12,0.2,0.08,Fis-130691_surface.grd
13,0.2,0.08,Fis-132769_surface.grd
14,0.2,0.08,Fis-133251_surface.grd
15,0.2,0.08,Fis-133951_surface.grd
16,0.2,0.08,Fis-13508_surface.grd
17,0.2,0.08,Fis-13595_surface.grd
18,0.2,0.08,Fis-136019_surface.grd
19,0.2,0.08,Fis-137993_surface.grd
20,0.2,0.08,Fis-139731_surface.grd
21,0.2,0.08,Fis-149580_surface.grd
22,0.2,0.08,Fis-150136_surface.grd
23,0.2,0.08,Fis-150650_surface.grd
24,0.2,0.08,Fis-153269_surface.grd
25,0.2,0.08,Fis-159194_surface.grd
26,0.2,0.08,Fis-162200_surface.grd
27,0.2,0.08,Fis-163884_surface.grd
28,0.2,0.08,Fis-163966_surface.grd
29,0.2,0.08,Fis-164142_surface.grd
30,0.2,0.08,Fis-164253_surface.grd
31,0.2,0.08,Fis-1643_surface.grd
32,0.2,0.08,Fis-164463_surface.grd
33,0.2,0.08,Fis-165433_surface.grd
34,0.2,0.08,Fis-166721_surface.grd
35,0.2,0.08,Fis-167765_surface.grd
36,0.2,0.08,Fis-169659_surface.grd
37,0.2,0.08,Fis-170784_surface.grd
38,0.2,0.08,Fis-171326_surface.grd
39,0.2,0.08,Fis-171619_surface.grd
40,0.2,0.08,Fis-172443_surface.grd
41,0.2,0.08,Fis-172567_surface.grd
42,0.2,0.08,Fis-172575_surface.grd
43,0.2,0.08,Fis-172577_surface.grd
44,0.2,0.08,Fis-172862_surface.grd
45,0.2,0.08,Fis-2_surface.grd
46,0.2,0.08,Fis-20033_surface.grd
47,0.2,0.08,Fis-21630_surface.grd
48,0.2,0.08,Fis-22157_surface.grd
49,0.2,0.08,Fis-22182_surface.grd
50,0.2,0.08,Fis-22184_surface.grd
51,0.2,0.08,Fis-22194_surface.grd
52,0.2,0.08,Fis-22215_surface.grd
53,0.2,0.08,Fis-22712_surface.grd
54,0.2,0.08,Fis-22714_surface.grd
55,0.2,0.08,Fis-22717_surface.grd
56,0.2,0.08,Fis-22726_surface.grd
57,0.2,0.08,Fis-22728_surface.grd
58,0.2,0.08,Fis-22731_surface.grd
59,0.2,0.08,Fis-22735_surface.grd
60,0.2,0.08,Fis-22736_surface.grd
61,0.2,0.08,Fis-22738_surface.grd
62,0.2,0.08,Fis-22742_surface.grd
63,0.2,0.08,Fis-22746_surface.grd
64,0.2,0.08,Fis-22750_surface.grd
65,0.2,0.08,Fis-22751_surface.grd
66,0.2,0.08,Fis-22752_surface.grd
67,0.2,0.08,Fis-22755_surface.grd
68,0.2,0.08,Fis-22756_surface.grd
69,0.2,0.08,Fis-22759_surface.grd
70,0.2,0.08,Fis-22760_surface.grd
71,0.2,0.08,Fis-22765_surface.grd
72,0.2,0.08,Fis-22766_surface.grd
73,0.2,0.08,Fis-22769_surface.grd
74,0.2,0.08,Fis-22770_surface.grd
75,0.2,0.08,Fis-22777_surface.grd
76,0.2,0.08,Fis-22805_surface.grd
77,0.2,0.08,Fis-22818_surface.grd
78,0.2,0.08,Fis-22833_surface.grd
79,0.2,0.08,Fis-22849_surface.grd
80,0.2,0.08,Fis-22851_surface.grd
81,0.2,0.08,Fis-22861_surface.grd
82,0.2,0.08,Fis-22873_surface.grd
83,0.2,0.08,Fis-22931_surface.grd
84,0.2,0.08,Fis-22935_surface.grd
