id1	id2	boundary
1	296	27798.718000
1	386	27798.718000
1	452	27798.718100
1	646	27798.718100
2	842	27798.718000
2	1511	27798.718100
2	2076	27798.718100
2	3271	27798.718000
3	1162	27798.718100
3	1898	27798.718100
3	2822	27798.718100
3	3098	27798.718100
4	756	27798.718000
4	1657	27798.718000
4	2637	27798.718000
4	2852	27798.718000
5	5	30454.144288
5	895	27798.718100
5	1840	3539.299300
5	4019	10181.117800
6	6	36748.934967
6	362	4519.121300
6	2031	18910.516700
7	7	30322.810941
7	1523	27798.718000
7	2410	19859.256200
7	2649	27798.718100
7	4508	15126.233500
8	3995	27798.718000
8	4146	27798.718000
8	4333	27798.718000
8	4400	27798.718000
9	439	27798.718000
9	787	27798.718100
9	867	27798.718000
9	4076	27798.718100
10	611	27798.718000
10	749	27798.718000
10	4024	27798.718000
10	4268	27798.718000
11	1800	27798.718100
11	3579	27798.718100
11	3586	27798.718100
11	4522	27798.718100
12	462	27798.718100
12	3472	27798.718100
12	3618	27798.718100
12	3962	27798.718100
13	41	27798.718000
13	1749	27798.718000
13	3557	27798.718000
13	3566	27798.718000
14	253	27798.718000
14	1364	27798.718000
14	2559	27798.718000
14	4110	27798.718000
15	623	27798.718100
15	1238	27798.718100
15	1413	27798.718100
15	4546	27798.718100
16	16	33005.254783
16	2444	27798.718100
16	4298	704.910800
16	4460	17939.496400
17	182	27798.718100
17	396	27798.718100
17	1025	27798.718100
17	2047	27798.718100
18	18	21894.634457
18	736	10334.115100
18	1273	18159.050400
19	79	27798.718000
19	1578	27798.718100
19	4164	27798.718100
19	4347	27798.718000
20	20	29132.515200
20	1550	1804.554200
20	1653	7418.012100
20	2258	27798.718000
21	1692	27798.718000
21	2213	27798.718000
21	3698	27798.718000
21	4562	27798.718000
22	1161	27798.718000
22	2406	27798.718100
22	3268	27798.718000
22	4454	27798.718100
23	321	27798.718100
23	2800	27798.718000
23	3358	27798.718100
23	3573	27798.718000
24	421	27798.718100
24	848	27798.718000
24	1050	27798.718100
24	3111	27798.718000
25	1659	27798.718100
25	2339	27798.718100
25	3181	27798.718100
25	4183	27798.718100
26	1824	27798.718000
26	3841	27798.718000
26	3874	27798.718100
26	4635	27798.718100
27	736	27798.718000
27	859	27798.718000
27	1273	27798.718000
27	2312	27798.718000
28	1086	27798.718000
28	1502	27798.718100
28	2154	27798.718000
28	4640	27798.718100
29	568	27798.718000
29	617	27798.718100
29	964	27798.718100
29	2805	27798.718000
30	30	77122.808670
30	974	9663.226700
30	3638	27798.718100
30	4116	22257.664400
30	4420	19687.636000
31	439	27798.718100
31	2489	27798.718100
31	3257	27798.718100
31	4076	27798.718100
32	783	27798.718000
32	830	27798.718100
32	1077	27798.718000
32	3661	27798.718100
33	33	17056.009904
33	751	18118.425100
33	775	27733.917300
33	2418	27798.718000
33	4423	27798.718000
34	34	5463.848942
34	1022	4452.396000
34	2750	3079.297300
35	392	27798.718100
35	3430	27798.718100
35	3444	27798.718100
35	4457	27798.718100
36	36	82859.511892
36	1206	20652.476700
36	1233	27790.161000
36	2895	21450.361800
36	3724	17577.267900
37	70	27798.718100
37	1450	27798.718100
37	3093	27798.718100
37	3321	27798.718100
38	385	27798.718100
38	1143	27798.718000
38	1968	27798.718000
38	3066	27798.718100
39	2004	27798.718100
39	2475	27798.718000
39	3413	27798.718100
39	3971	27798.718000
40	196	27798.718100
40	1831	27798.718000
40	3123	27798.718100
40	3576	27798.718000
41	742	27798.718100
41	2657	27798.718000
41	2912	27798.718100
42	955	27798.718100
42	1560	27798.718100
42	1700	27798.718000
42	3138	27798.718000
43	43	132197.220584
43	71	3643.758300
43	78	27798.718100
43	1960	8162.626400
43	2294	18351.184700
44	44	35313.469061
44	1539	27798.718100
44	2145	27798.718000
44	2437	18370.309400
44	3437	22433.041200
45	422	27798.718000
45	1853	27798.718000
45	3351	27798.718000
45	4322	27798.718000
46	2131	27798.718100
46	3952	27798.718000
46	4143	27798.718100
46	4165	27798.718000
47	726	27798.718100
47	1320	27798.718100
47	3403	27798.718100
47	3686	27798.718100
48	753	27798.718000
48	1300	27798.718100
48	2265	27798.718100
48	3996	27798.718000
49	1145	27798.718100
49	2416	27798.718100
49	3360	27798.718100
49	3674	27798.718100
50	1476	27798.718000
50	1859	27798.718000
50	2435	27798.718000
50	4208	27798.718000
51	415	27798.718000
51	1230	27798.718100
51	1498	27798.718000
51	3459	27798.718100
52	771	27798.718000
52	3523	27798.718100
52	3793	27798.718100
52	4498	27798.718000
53	53	2139.540948
53	491	27798.718000
53	845	26428.012700
53	2457	27798.718100
53	3639	27798.718100
54	192	27798.718000
54	318	27798.718100
54	2640	27798.718000
54	3687	27798.718100
55	1377	27798.718100
55	1431	27798.718100
55	2724	27798.718100
55	3951	27798.718100
56	1102	27798.718100
56	2204	27798.718100
56	3128	27798.718100
56	3195	27798.718100
57	1632	27798.718000
57	2870	27798.718000
57	3150	27798.718100
57	3541	27798.718100
58	58	37386.145564
58	666	24858.435500
58	3509	22479.814100
58	3596	27798.718000
59	59	34523.193465
59	472	25565.913800
59	4338	13961.479900
60	795	27798.718100
60	1200	27798.718000
60	2398	27798.718100
60	2901	27798.718000
61	61	6425.724610
61	371	26278.380300
61	723	27798.718000
61	1179	27798.718100
61	1796	21952.114300
62	1329	27798.718100
62	1691	27798.718000
62	2814	27798.718100
62	4586	27798.718000
63	63	4117.950119
63	671	27798.718000
63	1489	26252.245100
63	3218	27798.718000
63	4270	26864.538900
64	64	44729.352373
64	2533	18318.746800
64	4563	8353.605900
65	603	27798.718100
65	814	27798.718100
65	2744	27798.718000
65	4428	27798.718000
66	66	2056.682553
66	1131	26016.777100
66	1371	27798.718100
66	1792	27798.718100
66	4109	26771.766600
67	626	27798.718100
67	2230	27798.718100
67	2496	27798.718100
67	4159	27798.718100
68	68	31218.797467
68	596	26175.291100
68	2474	13496.591800
69	276	27798.718100
69	1859	27798.718100
69	3369	27798.718100
69	4208	27798.718100
70	2363	27798.718100
70	3454	27798.718100
70	3737	27798.718100
71	71	5944.438025
72	322	27798.718100
72	879	27798.718100
72	1967	27798.718100
72	4301	27798.718100
73	73	28568.873871
73	943	18785.913800
73	2477	27798.718100
73	2976	27798.718100
73	3733	27798.718100
74	1515	27798.718100
74	3099	27798.718100
74	4124	27798.718000
74	4567	27798.718000
75	624	27798.718000
75	1372	27798.718000
75	2798	27798.718000
75	4343	27798.718000
76	601	27798.718100
76	1028	27798.718000
76	1625	27798.718000
76	4296	27798.718100
77	77	46460.866272
77	921	8212.425500
77	1207	27798.718100
77	3266	27798.718100
77	4141	7372.439300
78	1023	27798.718100
78	1988	27798.718100
78	2466	27798.718100
79	3006	27798.718000
79	3431	27798.718000
79	3898	27798.718000
80	1107	27798.718100
80	1225	27798.718100
80	2592	27798.718000
80	4598	27798.718000
81	2176	27798.718100
81	2185	27798.718100
81	2393	27798.718000
81	2877	27798.718000
82	2205	27798.718000
82	2545	27798.718000
82	2778	27798.718000
82	4392	27798.718000
83	197	27798.718100
83	991	27798.718100
83	3499	27798.718100
83	3669	27798.718100
84	774	27798.718000
84	2428	27798.718000
84	2847	27798.718100
84	3256	27798.718100
85	85	32527.899570
85	1415	20952.536000
85	1719	27798.718100
85	3840	25261.258500
85	4545	21526.236600
86	685	27798.718100
86	698	27798.718100
86	1244	27798.718100
86	1571	27798.718100
87	566	27798.718000
87	1609	27798.718000
87	1644	27798.718100
87	3671	27798.718100
88	886	27798.718100
88	1457	27798.718100
88	3308	27798.718100
88	4055	27798.718100
89	1858	27798.718100
89	2691	27798.718000
89	2957	27798.718000
89	3295	27798.718100
90	90	45717.201162
90	303	14542.785700
90	841	7465.411500
90	3010	27798.718000
90	4105	27798.718000
91	2131	27798.718100
91	3663	27798.718100
91	3952	27798.718000
91	4625	27798.718000
92	92	35861.274235
92	861	5469.416500
92	1395	27798.718000
92	3842	19843.153100
92	4112	27798.718000
93	1086	27798.718000
93	1497	27798.718000
93	1502	27798.718100
93	3012	27798.718100
94	974	27798.718100
94	1786	27798.718100
94	2231	27798.718100
94	4420	27798.718100
95	1115	27798.718000
95	1681	27798.718000
95	4402	27798.718100
95	4421	27798.718100
96	1271	27798.718100
96	3516	27798.718100
96	4012	27798.718100
96	4585	27798.718100
97	750	27798.718100
97	2572	27798.718100
97	3259	27798.718100
97	4258	27798.718100
98	785	27798.718000
98	1837	27798.718000
98	3023	27798.718000
98	3518	27798.718000
99	99	42567.828895
99	1719	25873.268100
99	3638	23631.348600
99	3840	27798.718000
99	4116	27798.718000
100	100	29510.093241
100	2530	24644.595300
100	3368	27798.718100
100	3762	27798.718100
100	4020	25148.508700
101	193	27798.718100
101	760	27798.718100
101	3171	27798.718100
101	4606	27798.718100
102	102	42659.507691
102	1411	18716.154600
102	1933	2656.231500
102	2078	27798.718000
102	2910	27798.718100
103	298	27798.718000
103	492	27798.718100
103	1043	27798.718000
103	3875	27798.718100
104	104	30410.023900
104	2304	12152.726500
104	2359	27798.718000
104	3206	16848.304400
105	634	27798.718100
105	1839	27798.718100
105	2579	27798.718100
105	4010	27798.718100
106	524	27798.718000
106	1494	27798.718000
106	1973	27798.718100
106	4623	27798.718100
107	553	27798.718100
107	2528	27798.718100
107	3007	27798.718100
107	4029	27798.718100
108	188	27798.718100
108	403	27798.718100
108	3535	27798.718100
108	4491	27798.718100
109	109	11809.533814
109	470	27505.687800
109	549	27798.718000
109	1404	27798.718100
109	3080	27798.718000
110	878	27798.718100
110	2730	27798.718000
110	3711	27798.718000
110	4405	27798.718100
111	160	27798.718100
111	505	27798.718000
111	850	27798.718100
111	3916	27798.718000
112	112	1352.294944
112	2185	27798.718100
112	3310	27048.470100
112	3958	27798.718000
112	4273	27798.718100
113	194	27798.718100
113	1365	27798.718100
113	2829	27798.718100
113	4145	27798.718100
114	1070	27798.718100
114	1495	27798.718100
114	1996	27798.718100
114	2256	27798.718100
115	141	27798.718000
115	1056	27798.718100
115	2633	27798.718000
115	3570	27798.718100
116	412	27798.718000
116	873	27798.718100
116	2235	27798.718000
116	3327	27798.718100
117	3137	27798.718100
117	3410	27798.718100
117	4304	27798.718000
117	4451	27798.718000
118	1091	27798.718100
118	2048	27798.718000
118	2183	27798.718100
118	2692	27798.718000
119	897	27798.718100
119	1453	27798.718100
119	2298	27798.718100
119	3486	27798.718100
120	120	61124.504208
120	1057	27798.718000
120	2611	27798.718000
120	4312	27798.718000
120	4591	25378.946700
121	3144	27798.718000
121	3477	27798.718000
121	3521	27798.718000
121	4473	27798.718000
122	122	15279.649255
122	1463	12474.492100
122	3810	5922.177700
123	1756	27798.718000
123	2609	27798.718000
123	2715	27798.718100
123	4149	27798.718100
124	412	27798.718000
124	517	27798.718000
124	873	27798.718100
124	1747	27798.718100
125	125	27973.990463
125	1059	11972.293300
125	2719	20321.504600
125	3710	20683.777200
125	4189	27798.718000
126	982	27798.718000
126	2244	27798.718000
126	3465	27798.718000
126	3652	27798.718000
127	127	29718.617572
127	1550	3677.738800
127	2258	27798.718100
127	2628	27798.718100
127	3629	11592.013300
128	1004	27798.718000
128	2648	27798.718000
128	2726	27798.718000
128	3126	27798.718000
129	129	9750.369963
129	1238	27798.718000
129	4187	27798.718000
129	4264	22661.521800
129	4546	19987.203100
130	130	192329.703962
130	1202	9669.629400
130	1795	20795.634100
130	3456	24223.527100
130	4542	16551.701400
131	1033	27798.718000
131	2035	27798.718000
131	3317	27798.718000
131	4103	27798.718000
132	1307	27798.718100
132	3269	27798.718000
132	3549	27798.718100
132	4057	27798.718000
133	628	27798.718100
133	766	27798.718000
133	2281	27798.718100
133	4419	27798.718000
134	315	27798.718000
134	1399	27798.718100
134	2948	27798.718000
134	4364	27798.718100
135	1220	27798.718100
135	1711	27798.718100
135	3941	27798.718100
135	3972	27798.718100
136	136	57162.035064
136	2575	24504.841900
136	2637	27798.718000
136	3347	24544.213700
136	4393	19581.853200
137	568	27798.718000
137	617	27798.718100
137	1006	27798.718000
137	4407	27798.718100
138	1895	27798.718100
138	2139	27798.718100
138	2349	27798.718100
138	3748	27798.718100
139	778	27798.718100
139	1332	27798.718000
139	2002	27798.718100
139	2137	27798.718000
