"planning_unit","number"
4649,0
4648,2
4647,10
4646,0
4645,0
4644,7
4643,0
4642,0
4641,1
4640,0
4639,1
4638,6
4637,0
4636,0
4635,1
4634,7
4633,2
4632,9
4631,1
4630,0
4629,2
4628,1
4627,0
4626,0
4625,0
4624,2
4623,1
4622,4
4621,4
4620,7
4619,6
4618,0
4617,0
4616,1
4615,2
4614,6
4613,4
4612,4
4611,2
4610,6
4609,5
4608,6
4607,0
4606,0
4605,6
4604,0
4603,5
4602,0
4601,7
4600,0
4599,3
4598,1
4597,3
4596,3
4595,4
4594,0
4593,0
4592,3
4591,0
4590,1
4589,0
4588,3
4587,0
4586,2
4585,3
4584,0
4583,3
4582,0
4581,2
4580,1
4579,6
4578,5
4577,2
4576,4
4575,5
4574,2
4573,1
4572,0
4571,3
4570,0
4569,0
4568,8
4567,10
4566,1
4565,0
4564,1
4563,0
4562,0
4561,0
4560,0
4559,2
4558,1
4557,1
4556,5
4555,4
4554,0
4553,0
4552,1
4551,0
4550,0
4549,2
4548,1
4547,0
4546,1
4545,0
4544,0
4543,1
4542,0
4541,2
4540,1
4539,4
4538,0
4537,0
4536,6
4535,1
4534,2
4533,2
4532,0
4531,1
4530,5
4529,0
4528,3
4527,0
4526,1
4525,0
4524,0
4523,9
4522,1
4521,0
4520,1
4519,1
4518,1
4517,1
4516,0
4515,1
4514,0
4513,0
4512,0
4511,0
4510,0
4509,10
4508,1
4507,0
4506,1
4505,10
4504,1
4503,1
4502,0
4501,2
4500,0
4499,6
4498,3
4497,1
4496,2
4495,3
4494,1
4493,1
4492,0
4491,2
4490,6
4489,1
4488,3
4487,0
4486,0
4485,0
4484,2
4483,1
4482,0
4481,0
4480,4
4479,1
4478,0
4477,0
4476,0
4475,0
4474,3
4473,2
4472,4
4471,6
4470,1
4469,0
4468,1
4467,0
4466,1
4465,0
4464,0
4463,5
4462,1
4461,0
4460,1
4459,4
4458,1
4457,1
4456,3
4455,3
4454,0
4453,7
4452,0
4451,0
4450,0
4449,0
4448,0
4447,1
4446,7
4445,3
4444,10
4443,0
4442,0
4441,3
4440,0
4439,1
4438,2
4437,1
4436,2
4435,0
4434,2
4433,0
4432,3
4431,1
4430,4
4429,1
4428,6
4427,7
4426,4
4425,2
4424,3
4423,7
4422,1
4421,6
4420,0
4419,0
4418,10
4417,3
4416,2
4415,1
4414,6
4413,0
4412,6
4411,5
4410,4
4409,3
4408,0
4407,5
4406,1
4405,5
4404,3
4403,0
4402,0
4401,0
4400,1
4399,7
4398,0
4397,4
4396,0
4395,0
4394,3
4393,0
4392,3
4391,9
4390,4
4389,1
4388,1
4387,0
4386,0
4385,10
4384,3
4383,7
4382,1
4381,1
4380,3
4379,1
4378,0
4377,3
4376,1
4375,0
4374,1
4373,0
4372,1
4371,9
4370,5
4369,3
4368,0
4367,0
4366,0
4365,2
4364,0
4363,0
4362,0
4361,1
4360,5
4359,3
4358,0
4357,3
4356,4
4355,0
4354,0
4353,0
4352,0
4351,0
4350,0
4349,1
4348,0
4347,3
4346,3
4345,0
4344,7
4343,0
4342,0
4341,0
4340,0
4339,1
4338,0
4337,3
4336,4
4335,0
4334,3
4333,0
4332,0
4331,0
4330,1
4329,1
4328,1
4327,0
4326,2
4325,1
4324,3
4323,7
4322,0
4321,4
4320,2
4319,9
4318,0
4317,1
4316,0
4315,1
4314,8
4313,1
4312,0
4311,1
4310,3
4309,0
4308,1
4307,3
4306,0
4305,1
4304,0
4303,2
4302,3
4301,6
4300,1
4299,7
4298,0
4297,1
4296,0
4295,1
4294,1
4293,0
4292,0
4291,0
4290,5
4289,10
4288,3
4287,0
4286,5
4285,0
4284,1
4283,0
4282,6
4281,0
4280,4
4279,0
4278,0
4277,2
4276,0
4275,4
4274,1
4273,0
4272,7
4271,2
4270,0
4269,0
4268,5
4267,0
4266,0
4265,0
4264,3
4263,2
