id,cost,status
1,6018448.000000,0
2,21772603.000000,0
3,11629463.000000,0
4,26833333.000000,0
5,2876866.000000,0
6,1343925.000000,0
7,19532034.000000,0
8,45729679.000000,0
9,3679677.000000,0
10,1720706.000000,0
11,8891771.000000,0
12,50279922.000000,0
13,13024327.000000,0
14,1961663.000000,0
15,2213943.000000,0
16,15987596.000000,0
17,3134548.000000,0
18,677551.000000,0
19,33800844.000000,0
20,30876722.000000,0
21,211191.000000,0
22,2100128.000000,0
23,1037744.000000,0
24,150857971.000000,0
25,38767122.000000,0
26,20965335.000000,0
27,6492626.000000,0
28,63131321.000000,0
29,6519455.000000,0
30,2211681.000000,0
31,1618606.000000,0
32,3872908.000000,0
33,30088427.000000,0
34,38457.000000,0
35,8978630.000000,0
36,31492267.000000,0
37,4909817.000000,0
38,10565494.000000,0
39,6849247.000000,0
40,10208906.000000,0
41,8440298.000000,0
42,2277965.000000,0
43,1372972.000000,0
44,4962466.000000,0
45,2982784.000000,0
46,234199.000000,0
47,1033254.000000,0
48,8067918.000000,0
49,305476935.000000,0
50,565264.000000,0
51,7407500.000000,0
52,1833361.000000,0
53,1539381.000000,0
54,3748188.000000,0
55,150838.000000,0
56,5281763.000000,0
57,16110701.000000,0
58,12807604.000000,0
59,15847064.000000,0
60,12089280.000000,0
61,36645630.000000,0
62,336291443.000000,0
63,2220652.000000,0
64,86316241.000000,0
65,8872609.000000,0
66,1741905.000000,0
67,2845133.000000,0
68,1182633.000000,0
69,595812.000000,0
70,5028075.000000,0
71,3323.000000,0
72,2427082.000000,0
73,3499255.000000,0
74,942558.000000,0
75,29519099.000000,0
76,4229279.000000,0
77,3091030.000000,0
78,2923067.000000,0
79,18342308.000000,0
80,2799902.000000,0
81,655162.000000,0
82,1239805.000000,0
83,151313832.000000,0
84,1261155.000000,0
85,5130498.000000,0
86,65403176.000000,0
87,2498112.000000,0
88,141967420.000000,0
89,715613.000000,0
90,8340165.000000,0
91,194715.000000,0
92,53978171.000000,0
93,49900685.000000,0
94,3562500.000000,0
95,474307.000000,0
