"new_cost","area_m2","perimeter_m","solution","iteration","scenario","best_solution","per_circle_m","fragmentation_m"
3114118459,508771023923.355,34921635.7858478,"r00001",6,1,"NO",2528518.38918919,13.8111061146152
3121972945,507920743602.25,36989338.3828112,"r00002",6,1,"NO",2526404.62056789,14.6410982950533
3140929641,509071502499.038,38795432.7000042,"r00003",6,1,"NO",2529264.94650355,15.3386195280312
3047384791,509214052831.31,36630995.1657684,"r00004",6,1,"NO",2529619.04442509,14.480834672121
3043432245,509897128682.297,35304355.1157132,"r00005",6,1,"NO",2531315.13135353,13.9470406819065
3066456446,510872848556.429,37477619.8915956,"r00006",6,1,"NO",2533735.88832251,14.791446916122
3056918061,508665740585.6,38396135.2318055,"r00007",6,1,"YES",2528256.75417394,15.1868021981615
3146010910,508758075334.449,39113122.9012085,"r00008",6,1,"NO",2528486.21267761,15.468988007567
3069626577,509537506428.806,37209765.3864994,"r00009",6,1,"NO",2530422.32595683,14.7049624897809
3067007634,507866526101.523,37460927.5693884,"r00010",6,1,"NO",2526269.7776799,14.8285539020271
13240048832,662123747177.852,14204374.505188,"r00001",6,10,"NO",2884526.3735326,4.92433511287064
12877748379,544485240971.623,13037769.8345465,"r00002",6,10,"NO",2615760.5647494,4.9843131708026
12376191743,679127244113.528,14053379.5482432,"r00003",6,10,"NO",2921329.25974443,4.81061130010132
11412573861,553720069316.542,13327504.7061789,"r00004",6,10,"NO",2637849.80763506,5.05241225925881
14821150721,618230043852.816,12519524.0236693,"r00005",6,10,"NO",2787276.06382755,4.49166990889206
16076052186,517793220844.828,12029593.5756927,"r00006",6,10,"YES",2550839.3745469,4.71593534886118
22450771726,513005673556.113,13178971.8915673,"r00007",6,10,"NO",2539019.38180374,5.19057553716066
15900660400,635109056580.754,13078628.2203307,"r00008",6,10,"NO",2825069.16473381,4.62948956563441
19733781141,505214930272.201,12776778.0830457,"r00009",6,10,"NO",2519666.25839775,5.07082159808355
12595226857,633211025531.723,14587943.1807115,"r00010",6,10,"NO",2820844.62952678,5.17148056579024
3065594370,509303464867.857,33401169.473269,"r00001",6,2,"NO",2529841.12044744,13.2028723872436
3083768042,508484472498.956,33080186.4645167,"r00002",6,2,"NO",2527806.22933579,13.0865198766477
3065904029,507919231172.887,32058688.6064016,"r00003",6,2,"NO",2526400.85914308,12.6894702756219
3138324970,507560495926.988,31926126.7339906,"r00004",6,2,"NO",2525508.52325358,12.6414646555461
3031605219,509531851439.958,32360614.1627122,"r00005",6,2,"NO",2530408.28425278,12.7886927829388
3095816013,508220112558.176,32565344.7128602,"r00006",6,2,"NO",2527149.04350285,12.8861986975338
3113538317,509260729475.359,30905708.8033879,"r00007",6,2,"NO",2529734.97938544,12.2169749223675
3044415985,507634972788.376,33018977.50434,"r00008",6,2,"NO",2525693.8066339,13.0732305783121
