"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
41051828.5972426,349299999975.726,67299999.9992545,"r00001",11,"NO",2095097.43336452,32.1226110669121
41295846.0060043,357199999973.313,68899999.9994132,"r00002",11,"NO",2118657.02347353,32.5206011336615
40730958.7613618,351099999973.46,67139999.9996239,"r00003",11,"YES",2100488.68656034,31.9639902986429
41257610.5517391,356199999970.25,68239999.9993473,"r00004",11,"NO",2115689.29960448,32.2542634271037
41036270.2822061,353399999972.228,68339999.9994847,"r00005",11,"NO",2107357.43877624,32.4292399295919
41032204.6252033,359199999972.046,68219999.9995478,"r00006",11,"NO",2124580.03481312,32.109875307921
41351271.5038694,352899999972.998,68299999.9993127,"r00007",11,"NO",2105866.1375947,32.4332106300566
40831913.597638,359699999973.544,68679999.9995512,"r00008",11,"NO",2126058.2093754,32.3039132685498
41018166.499315,350399999973.678,67919999.9993505,"r00009",11,"NO",2098393.73401197,32.3676147609785
41229734.5040885,356599999972.909,68519999.9994765,"r00010",11,"NO",2116876.88842314,32.3684387950009
