"","new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
"1",40321230.1157815,355899999993.864,107739999.998913,"r00001",1,"NO",2114798.17041091,50.9457599814259
"2",39935508.330768,349599999991.914,106159999.998812,"r00002",1,"NO",2095996.93861378,50.6489289383326
"3",40373700.12848,354199999994.433,108119999.998813,"r00003",1,"NO",2109741.32811017,51.2479888212945
"4",40510706.6667907,356799999992.658,109039999.998992,"r00004",1,"NO",2117470.43311379,51.4954061666147
"5",40099565.5047026,354599999993.975,107319999.999289,"r00005",1,"NO",2110932.2631899,50.8400965159887
"6",40031750.1044313,354099999992.99,107599999.999031,"r00006",1,"NO",2109443.4892778,51.0087141684321
"7",40352144.7216336,355499999993.229,108459999.999118,"r00007",1,"NO",2113609.41361445,51.315062896906
"8",39674881.5963697,354299999993.817,107799999.999336,"r00008",1,"YES",2110039.1248955,51.0891000680732
"9",40461137.911636,352699999994.719,106519999.99906,"r00009",1,"NO",2105269.32139765,50.5968518689776
"10",40491607.8913509,353199999993.75,106759999.998906,"r00010",1,"NO",2106761.04504358,50.6749449587899
"11",40340714.8856618,356199999994.871,108179999.999295,"r00001",2,"NO",2115689.2996776,51.1322716505586
"12",39691103.7265526,350799999994.023,105839999.999132,"r00002",2,"YES",2099591.10577324,50.409815372195
"13",40100139.5662614,353699999993.627,106879999.999215,"r00003",2,"NO",2108251.7132019,50.696033746792
"14",40260888.7355995,351699999993.621,107419999.999128,"r00004",2,"NO",2102282.69863736,51.0968387214309
"15",40892407.1012608,355499999993.332,107979999.999448,"r00005",2,"NO",2113609.41361475,51.087963227216
"16",40063880.839475,354999999994.872,106739999.998799,"r00006",2,"NO",2112122.52675669,50.5368408539754
"17",39938026.3899397,352699999995.17,107619999.99915,"r00007",2,"NO",2105269.321399,51.1193503392877
"18",40034078.1065112,354199999993.911,106599999.999362,"r00008",2,"NO",2109741.32810862,50.5275213501786
"19",40620886.1062866,355199999994.262,108159999.99898,"r00009",2,"NO",2112717.40707277,51.1947313147002
