"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
37280790.3456746,346399999987.888,85199999.9993047,"r00001",7,"NO",2086382.22305066,40.8362375110382
37408957.3876094,348399999985.062,84399999.999137,"r00002",7,"NO",2092396.59764946,40.3365213334555
37308659.3511378,346599999985.492,84999999.9991412,"r00003",7,"NO",2086984.44046777,40.728621809988
37191979.3598422,348199999985.981,84979999.9992249,"r00004",7,"NO",2091795.93836103,40.6253776674835
37278324.4360638,347999999984.034,85479999.9989326,"r00005",7,"NO",2091195.1065351,40.8761476783313
37023245.1013279,346499999986.074,85079999.9992108,"r00006",7,"NO",2086683.35348238,40.7728368835762
37074369.9196436,347499999986.346,85659999.9994712,"r00007",7,"NO",2089692.27120125,40.9916814930028
37016554.3952849,349199999985.003,84519999.9993989,"r00008",7,"YES",2094797.51249274,40.3475751213887
37206865.0911935,349699999986.501,85659999.9993468,"r00009",7,"NO",2096296.68789314,40.8625365360083
37174839.6665973,346399999986.073,85119999.9994912,"r00010",7,"NO",2086382.22304519,40.7978936262473
