"planning_unit","solution"
137285,0
139067,0
142625,0
147079,1
148860,0
150634,0
155983,0
156874,0
157760,0
157765,0
157772,1
158655,0
158660,1
158661,1
158662,1
158663,1
159549,1
159553,1
160441,1
160443,1
161330,0
161336,1
162211,1
162227,1
163102,1
163106,0
164883,1
164884,1
164896,1
165774,1
165775,1
169340,0
169348,1
169350,1
170231,0
170234,1
170239,1
171125,1
172016,1
172017,1
172907,1
172908,1
173798,1
173799,1
173800,1
174690,1
174691,1
175581,1
176469,1
176472,1
177360,1
177361,1
177362,1
177366,0
180925,0
181808,0
181813,0
181815,0
181816,0
182704,0
182705,0
184476,0
184481,0
185368,0
186264,0
187143,0
188046,0
188923,0
188935,0
188937,0
189825,0
189920,0
190714,0
190715,0
190716,0
191605,0
191606,0
192495,1
192497,0
195198,1
196056,0
196057,0
196058,0
196089,1
196943,1
196944,1
196945,1
196946,1
196947,0
196948,0
197072,1
197834,1
197835,1
198728,0
198729,0
199694,0
199744,0
200500,1
203259,0
204061,0
204150,0
204203,1
204951,0
204952,0
205841,0
205842,0
205898,0
205899,0
205932,0
205934,0
206732,0
206789,0
206790,0
206823,0
206825,0
207623,0
207624,0
207679,0
207680,0
207681,0
207714,0
208513,0
208514,0
208570,0
208571,0
208604,0
209404,0
209460,0
209461,0
209462,0
209496,0
209498,0
210294,0
210295,0
210351,0
210352,0
210386,0
210389,0
211185,0
211241,0
211242,0
211243,0
211282,0
212076,0
212132,0
212133,0
212134,0
212173,0
212966,0
212967,0
213023,0
213024,0
213025,0
213063,0
213064,0
213857,0
213858,0
213948,0
213949,0
213954,0
214748,0
214749,0
214806,0
214845,0
215639,0
215640,0
215697,0
215728,0
215729,0
216530,0
216588,0
216589,0
216619,0
217508,0
217509,0
217510,0
217511,1
218316,0
218369,0
218370,0
218398,0
218399,0
218401,1
219261,0
219262,0
219289,0
219290,1
220153,0
220179,1
220180,1
221067,0
221068,0
221070,1
221074,0
221877,1
221931,1
221932,1
221958,0
