"planning_unit","number"
375427,0
374536,0
373645,0
372754,0
371863,0
371862,0
370972,0
370971,0
368299,10
357602,2
354926,0
354035,0
352254,0
349575,0
348699,10
348683,0
348682,0
347793,0
346920,10
346009,0
345135,0
345118,0
345117,0
344246,10
344245,10
344226,0
340680,10
339771,0
338878,0
337988,0
337987,0
336206,0
335316,0
333534,0
332643,0
332642,0
331752,0
331751,0
329076,0
327295,0
326404,0
325514,10
325513,0
325507,0
324623,10
324622,0
324620,0
323731,0
323730,0
323727,0
322841,0
322840,0
322839,0
321054,0
319270,0
317489,0
314818,0
313927,0
313902,1
313901,1
313012,1
313011,1
313010,1
312168,0
309498,0
309481,0
309480,0
309479,0
309478,0
308591,0
308590,0
308587,0
307701,0
307700,0
307696,0
306810,0
306809,0
306808,0
306805,0
305939,0
305918,0
305917,0
305913,0
305049,0
305025,0
304155,0
304153,0
304148,0
304129,10
303267,0
302379,0
302347,0
301481,0
301473,0
301472,0
300600,0
300599,0
300579,0
300572,10
300571,10
300566,0
300565,0
300564,0
299698,0
299688,0
299682,10
299679,0
299671,0
298807,0
298791,10
297921,0
297919,0
297916,0
297912,0
297903,5
297902,6
297901,10
297900,10
297032,3
296131,0
296129,0
296127,0
296120,10
296118,10
296116,10
296115,10
296114,10
296113,10
295249,3
295230,6
295229,10
295228,10
294360,3
294347,8
294340,4
294339,5
293457,8
293455,8
293449,4
293439,7
292572,0
292559,2
292551,6
291691,0
291683,0
291679,10
291674,0
291669,2
291668,2
291660,5
290804,0
290803,0
290801,0
290791,10
290785,0
290777,2
290769,5
289913,0
289886,2
289022,0
289021,0
289019,0
289017,0
289003,0
288996,0
288995,0
288982,10
288131,6
288129,0
288127,0
288110,0
288106,0
287240,6
287236,0
287214,0
287213,0
286354,10
286330,0
286329,0
286323,0
286316,1
285475,0
285460,8
285459,8
285454,0
285443,0
285411,0
284585,0
284571,9
284569,8
284567,0
284565,0
284564,0
284557,0
284554,0
284553,0
284543,10
284526,0
284518,0
283692,0
283682,9
283681,9
283679,8
283678,8
283672,0
283661,0
283660,0
283654,0
283630,0
283628,0
282802,0
282792,6
282788,8
282782,0
282781,0
282779,0
282775,0
282771,0
282763,0
282760,0
282759,0
282758,0
282746,0
282739,0
282735,6
281903,6
281902,6
281901,6
281896,0
281892,0
281881,0
281868,0
281867,0
281860,6
281847,0
281012,6
281011,6
281007,3
280955,0
280954,0
280953,0
280929,0
280924,0
280122,6
280121,6
280120,6
280113,0
280112,0
280094,10
280092,7
280081,5
280076,0
280075,0
280034,0
280032,0
279234,8
279233,8
279230,10
279226,3
279222,0
279221,0
279219,0
279218,0
279217,0
279204,10
279201,7
279194,0
279193,0
279192,0
279188,3
279183,9
279181,0
279176,0
279145,0
279144,0
279143,0
278347,0
278343,8
278342,8
278341,8
278339,10
278331,0
278330,0
278329,0
278327,0
278326,0
278325,0
278323,0
278320,9
278318,10
278317,10
278314,10
278313,10
278312,10
278310,7
278308,7
278307,7
278293,0
278281,0
278280,0
278255,0
278254,0
278252,0
278250,0
278246,0
278245,0
277451,8
277450,8
277449,9
277448,10
277447,10
277430,0
277428,7
277426,10
277423,10
277419,7
277391,0
277390,0
277365,6
277363,0
277362,0
277361,0
277360,0
277358,0
277357,0
277355,0
276559,8
276553,1
276542,0
276537,0
276528,5
276526,0
276509,0
276499,0
276498,0
276495,0
276494,0
276471,0
276470,0
276469,0
276467,0
276465,0
276446,0
276445,0
275669,8
275668,8
275663,1
275630,4
275607,0
275606,0
275602,0
275581,0
275580,0
275579,0
275578,0
275577,0
275576,0
275575,0
275550,0
274778,8
274775,1
274772,1
274764,0
274746,0
274745,0
274740,4
274734,0
274733,0
274720,0
274710,0
274689,0
274687,0
274686,0
274684,0
274680,0
274663,0
274662,0
274660,0
274659,0
273889,10
273887,10
273884,1
273883,1
273866,0
273855,0
273854,0
273843,0
273841,0
273840,0
273834,2
273824,0
273823,0
273794,0
273793,0
273790,0
272996,10
272988,0
272955,0
272954,0
272953,0
272952,0
272949,0
272948,0
272938,0
272928,0
272913,0
272912,0
272911,0
272910,0
272904,0
272903,0
272882,0
272096,0
272082,0
272073,0
272072,0
272062,0
272060,0
272058,0
272057,0
272041,0
272036,0
272022,0
272021,0
272020,0
272019,0
272013,0
271992,0
271205,0
271191,0
271190,0
271181,0
271167,0
271166,0
271152,10
271145,0
271129,0
271128,0
271119,0
271117,0
271099,0
271094,0
271093,0
270324,10
270323,10
270320,0
270308,0
270306,0
270302,0
270301,0
270300,0
270299,0
270289,0
270278,0
270277,0
270239,0
270238,0
270229,0
270208,0
270207,0
270202,0
269439,0
269433,10
269432,10
269430,4
269429,0
269419,0
269408,0
269407,0
269406,0
269399,0
269398,0
269383,7
269370,4
269369,10
269353,0
269340,0
269339,0
269336,0
269320,0
269317,0
269316,0
268541,10
268539,4
268527,0
268516,0
268515,0
268514,0
268513,0
268508,0
268498,0
268497,0
268489,5
268488,5
268480,0
268479,10
268477,10
268473,0
268460,0
268457,0
268456,0
268450,0
268426,0
268424,0
268422,0
267639,0
267633,2
267626,0
267624,0
267622,0
267621,0
267620,0
267619,0
267598,5
267597,5
267595,0
267587,0
267578,1
267564,0
267560,0
267558,0
267557,0
266748,0
266736,0
266735,0
266733,0
266728,0
266726,0
266705,0
266696,0
266689,1
266672,0
266668,0
266666,0
266665,0
265858,0
265853,0
265850,9
265844,0
265837,0
265814,0
265808,0
265778,0
265776,0
265774,0
265765,1
265752,0
264980,10
264978,10
264975,6
264974,6
264970,0
264959,7
264954,0
264953,0
264949,0
264919,0
264915,0
264910,0
264883,0
264882,0
264863,0
264861,0
264093,0
264089,10
264088,10
264086,10
264073,0
264062,0
264020,0
263991,0
263972,0
263960,5
263202,0
263195,10
263184,0
263172,0
263171,0
263126,0
263088,5
263087,5
263079,0
263069,5
262298,0
262297,0
262291,0
262288,0
262281,0
262280,0
262279,0
262241,0
262206,3
262180,0
261415,10
261403,0
261389,0
261388,0
261387,0
261345,0
261342,0
261289,0
260534,0
260505,0
260495,0
260417,0
260403,0
259612,0
259610,0
259601,0
259589,0
259561,0
259536,0
259530,1
259526,0
259515,0
259513,0
258745,0
258728,8
258725,0
258723,0
258721,0
258712,0
258647,0
258646,0
258645,0
258639,1
258638,1
257863,0
257834,0
257832,0
257830,0
257822,0
257805,7
257748,1
257747,1
257715,0
256950,10
256946,8
256937,0
256914,7
256883,0
256860,0
256825,0
256824,0
256047,0
256022,7
255978,3
255977,3
255152,1
255149,1
255125,7
255101,0
255070,0
254281,3
254268,4
254266,3
254261,1
254184,0
253391,3
253347,1
253317,0
253309,0
252509,0
252506,0
252486,7
252485,7
252452,5
251617,0
251595,10
251593,7
251589,7
251555,3
251520,1
250726,0
250722,0
250718,0
250704,10
250666,0
250665,0
250643,0
250624,5
250596,6
250595,6
250581,10
250580,10
249774,0
249773,10
249733,5
249715,0
249708,0
249693,10
249692,10
249689,10
248922,10
248882,10
248819,0
248801,10
248044,0
248042,0
248029,10
247928,0
247900,7
247173,0
247172,0
247154,0
247153,0
247142,0
247139,9
246264,0
246263,0
246262,0
246248,9
246247,9
246246,9
245286,0
245267,0
245266,0
244471,0
244461,9
244376,0
244375,0
244355,10
243585,0
243568,10
243511,0
243504,0
243479,10
243464,10
243463,10
242680,10
242679,10
242621,0
242620,0
242581,10
242571,10
241785,10
241783,10
241782,10
241697,10
241696,10
241688,10
240802,10
240797,10
240773,0
240772,0
240012,0
239942,0
239911,10
239910,10
239882,0
239880,0
239868,10
239156,0
239154,0
239125,0
239118,0
239117,0
239114,0
239064,0
239048,0
239021,10
239019,10
239017,10
238991,0
238989,0
238977,10
238225,0
238223,0
238222,0
238219,0
238173,0
238172,0
238167,8
238158,0
238129,10
238126,10
238125,10
238100,0
238099,0
238098,0
238097,0
237340,0
237283,0
237282,0
237232,10
237231,10
237208,0
237207,0
237206,0
236456,0
236392,0
236378,8
236316,0
236315,0
235563,0
235541,1
235501,1
235500,1
235499,1
235491,6
235487,8
235486,0
235485,10
235450,5
234663,0
234651,1
234610,3
234605,1
234559,5
233809,0
233784,0
233783,0
233769,0
233758,0
233720,4
233719,4
232892,0
232891,0
232875,0
232867,0
232829,4
232811,10
232020,0
232000,0
231999,0
231976,0
231085,0
230992,8
230191,0
230189,0
230139,9
230137,10
230133,7
229327,0
229325,0
229303,0
229300,0
229297,0
229249,9
229248,9
229246,4
229245,3
229243,3
229240,8
228459,0
228436,0
228435,0
228417,0
228406,0
228405,0
228403,0
228402,0
228362,6
228360,6
228355,1
228352,2
228351,8
227544,0
227521,0
227510,0
227472,6
227471,6
227470,6
227464,0
226634,0
226626,0
226620,0
226619,0
226618,0
226617,0
226582,6
226581,6
226580,6
226573,0
226572,1
225743,0
225737,0
225736,0
225728,0
225693,6
225692,6
225678,1
225673,8
225672,8
225670,5
224873,0
224850,0
224847,0
224837,0
224835,0
224801,6
224786,1
224785,1
224780,5
224779,5
224752,7
224751,7
223955,0
223947,0
223894,1
223893,1
223888,5
223886,5
223885,5
223064,0
223062,0
223057,0
223001,5
222996,5
222995,5
222994,5
222992,5
222204,0
222202,0
222157,0
222156,0
222111,5
222109,5
222103,5
222102,5
222101,5
221321,0
221319,0
221315,0
221313,0
221279,0
221268,0
221266,0
221265,0
221263,0
221262,0
221180,4
221179,4
220434,7
220429,0
220426,0
220425,0
220424,0
220376,0
220374,0
220370,0
220369,0
220368,0
220367,0
220354,0
220352,2
220351,2
220328,5
220289,4
220288,4
220098,10
220097,10
220096,10
219543,7
219536,0
219484,0
219476,0
219468,1
219464,0
219463,0
219462,1
219461,2
219437,5
219433,10
219432,10
219426,4
219398,4
219397,4
219396,4
219207,10
219206,10
219205,10
218598,0
218584,10
218575,0
218574,0
218573,0
218544,6
218542,10
218540,0
218535,4
218507,4
218506,4
218505,4
218313,0
218312,0
217760,0
217711,0
217709,0
217707,0
217701,0
217686,0
217685,0
217684,0
217683,0
217653,0
217650,0
217649,0
217615,4
217614,4
217429,0
217428,0
217427,0
217426,0
217425,0
217424,0
217423,0
217422,0
217421,0
216815,0
216798,0
216796,0
216795,0
216794,0
216793,0
216762,0
216761,0
216760,0
216759,0
216758,0
216757,0
216725,4
216724,4
216564,1
216539,0
216538,0
216537,0
216533,0
216532,0
216531,0
215927,0
215922,0
215907,0
215906,0
215905,0
215904,0
215866,0
215865,0
215864,0
215834,4
215833,4
215649,0
215648,0
215641,0
215027,0
214972,0
214944,0
214768,0
214759,0
214758,0
214750,0
214140,0
214137,0
214136,0
214086,0
214085,0
214084,0
214083,0
214082,0
214080,0
213888,4
213886,0
213885,0
213884,0
213880,0
213879,0
213878,0
213877,0
213876,0
213875,0
213874,0
213873,0
213872,0
213871,0
213870,0
213869,0
213860,0
213859,0
213855,10
213854,10
213241,0
213195,0
213194,0
213193,0
213190,10
213189,0
212999,4
212995,0
212994,0
212992,0
212991,0
212990,0
212989,0
212984,0
212983,0
212982,0
212981,0
212969,0
212968,0
212963,10
212303,0
212299,0
212274,7
212271,2
212270,2
212107,6
212104,0
212079,0
212078,0
212077,0
212073,10
212072,10
211412,0
211411,0
211408,0
211407,0
211406,0
211405,0
211404,0
211383,7
211380,2
211379,2
211378,2
211214,0
211213,0
211188,0
211187,0
210571,0
210516,0
210515,0
210513,0
210512,0
210325,1
210324,1
210323,0
210297,0
210296,0
209759,0
209677,0
209669,0
209664,0
209663,0
209624,0
209621,0
209620,0
209546,0
209434,1
209407,0
209406,0
208773,0
208728,0
208727,0
208655,0
208654,0
208543,1
208516,0
207976,0
207961,3
207886,0
207836,0
207835,0
207834,0
207833,0
207832,0
207831,0
207830,0
207764,0
207763,0
207653,1
207652,1
207627,0
207626,0
207625,0
207086,0
207001,0
206998,0
206989,0
206940,0
206939,0
206763,1
206762,1
206737,0
206736,0
206735,0
206191,0
206180,3
206109,0
206104,0
206099,0
206049,0
206048,0
205846,0
205212,0
205208,0
205207,0
205206,0
205205,0
205158,0
205157,0
205091,0
205090,0
205008,0
205007,0
204983,0
204957,0
204956,0
204322,0
204268,5
204266,0
204202,10
204119,0
204118,0
204117,0
204092,0
204067,0
204066,0
203431,0
203425,0
203422,0
203375,0
203374,0
203312,10
203311,10
203308,0
203307,0
203228,0
203227,0
203226,0
203200,0
203177,0
203176,0
203175,0
202628,0
202539,0
202538,0
202537,0
202483,0
202482,0
202422,0
202420,4
202419,4
202417,0
202416,0
202412,0
202338,0
202337,0
202336,0
202312,0
202311,0
202310,0
202309,0
202286,0
201591,0
201532,0
201531,0
201527,0
201526,0
201525,0
201448,0
201447,0
201446,0
201445,0
201444,0
201423,0
201422,0
201421,0
200699,0
200698,0
200641,0
200640,0
200634,0
200555,0
200554,0
200553,0
200533,0
200532,0
200531,0
199807,0
199806,0
199749,0
199745,0
199716,0
199666,0
199665,0
199664,0
199642,0
199049,0
199048,0
198915,0
198914,0
198859,0
198858,0
198857,0
198855,0
198854,10
198853,0
198828,0
198775,0
198774,0
198773,0
198755,0
198753,0
198752,0
198751,0
198730,0
198158,0
198157,0
197967,0
197966,0
197912,0
197911,0
197885,0
197869,5
197864,0
197863,0
197840,0
197839,0
197132,0
197073,10
197045,0
197022,0
197021,0
196975,0
196974,0
196973,0
196950,0
196949,0
196379,0
196240,0
196162,7
196155,0
196131,0
196130,0
196085,0
196084,0
196059,0
195273,7
195272,7
195271,7
195270,7
195269,7
195268,7
195267,7
195239,0
195214,0
195205,0
195195,0
195194,0
195169,0
195168,0
195167,0
194456,0
194455,0
194394,0
194382,7
194372,1
194325,1
194324,1
194323,0
194322,0
194316,0
194305,4
194304,1
194279,0
194278,0
194277,0
193564,0
193491,10
193488,7
193457,3
193434,1
193433,1
193428,0
193416,4
193415,4
193389,0
193388,0
193386,0
192811,0
192672,4
192671,4
192670,4
192669,4
192600,10
192599,10
192597,10
192595,10
192594,10
192590,0
192566,3
192543,1
192542,1
192541,1
192539,7
192526,5
192525,5
192498,0
191778,4
191777,4
191776,4
191775,4
191774,4
191737,0
191724,0
191723,0
191708,10
191707,10
191706,10
191705,10
191704,10
191703,10
191702,0
191700,0
191679,0
191675,3
191653,1
191652,1
191651,1
191650,1
191637,6
191636,6
191635,5
191608,0
191607,0
191590,0
191586,0
190883,4
190882,4
190881,4
190880,4
190879,4
190878,4
190814,10
190811,0
190810,0
190789,0
190784,3
190762,1
190761,1
190760,1
190759,1
190753,8
190752,8
190746,6
190719,0
190718,0
190717,0
190701,0
190700,0
190699,0
190696,0
190695,0
190138,2
189987,4
189986,4
189984,4
189981,5
189922,10
189919,0
189918,0
189899,10
189894,10
189871,1
189870,1
189869,1
189861,8
189855,6
189829,0
189828,0
189827,0
189826,0
189811,0
189810,0
189809,0
189808,0
189807,0
189806,0
189282,3
189246,2
189162,0
189093,4
189092,4
189091,4
189090,4
189089,4
189034,10
189031,10
189004,10
189003,10
188980,1
188967,6
188966,6
188965,6
188964,6
188938,0
188921,0
188920,0
188917,0
188916,0
188355,2
188271,0
188200,4
188199,4
188198,4
188172,0
188145,0
188140,10
188119,10
188115,10
188114,10
188113,10
188092,5
188091,5
188090,1
188088,1
188076,6
188075,6
188074,6
188047,0
188033,0
188032,0
188031,10
188030,0
188027,0
188026,0
188025,0
188024,0
187382,0
187309,4
187308,4
187249,10
187225,10
187224,10
187201,5
187186,6
187185,6
187156,0
187142,0
187141,0
187140,0
187139,0
187138,0
187137,0
187136,0
187135,0
186611,2
186501,4
186491,0
186490,0
186418,4
186417,4
186416,4
186358,10
186336,10
186334,10
186313,5
186295,6
186265,0
186252,0
186251,0
186250,0
186249,0
186248,0
186247,0
185720,2
185610,4
185526,4
185525,4
185524,4
185502,1
185501,1
185466,9
185465,9
185444,10
185443,10
185422,5
185412,8
185405,6
185404,6
185375,0
185374,0
185373,0
185372,10
185371,0
185370,0
185369,0
185361,0
185360,0
185359,0
185358,0
185357,0
184717,10
184713,0
184710,0
184634,4
184610,1
184553,10
184533,6
184532,6
184522,8
184521,8
184520,5
184519,0
184514,6
184513,6
184487,0
184486,0
184485,0
184484,0
184480,0
184479,0
184478,0
184477,0
184470,0
184469,0
183931,0
183824,9
183821,0
183820,0
183819,0
183818,0
183817,0
183743,4
183742,4
183642,7
183631,8
183630,8
183597,0
183596,0
183595,0
183594,0
183593,0
183590,0
183589,0
183588,0
183587,0
183586,0
183581,1
183580,1
183044,0
183038,0
182936,9
182935,9
182934,9
182933,9
182927,0
182926,0
182925,0
182853,4
182852,4
182851,4
182774,3
182755,6
182754,6
182746,9
182745,9
182744,9
182743,9
182741,9
182740,9
182708,0
182707,0
182706,0
182699,5
182698,10
182697,0
182696,0
182695,0
182694,0
182690,1
182689,1
182152,0
182146,0
182045,9
182036,10
182035,0
182034,0
181961,4
181960,4
181944,3
181943,3
181942,3
181865,6
181864,6
181853,9
181852,9
181851,9
181850,9
181819,0
181818,0
181817,0
181807,5
181806,0
181804,10
181799,1
181259,0
181255,0
181156,9
181154,9
181144,0
181069,4
181053,3
181050,3
181049,3
180975,5
180974,6
180929,0
180928,0
180927,0
180924,0
180923,0
180922,0
180916,5
180366,0
180266,9
180255,0
180254,0
180253,0
180178,8
180177,8
180158,3
180101,0
180086,4
180085,5
180082,0
180039,8
180038,1
180034,0
180033,0
180032,0
180025,5
179469,6
179365,0
179364,0
179287,8
179286,8
179278,4
179274,4
179273,4
179267,3
179266,3
179197,1
179196,4
179191,0
179187,4
179186,4
179185,4
179150,8
179149,8
179148,8
179146,10
179143,0
179142,0
179141,0
179140,0
179135,5
179134,5
178585,0
178475,0
178474,0
178473,0
178395,8
178394,8
178392,7
178391,7
178387,4
178386,4
178383,4
178382,4
178375,3
178308,0
178307,0
178306,0
178297,4
178296,4
178295,4
178294,4
178293,4
178292,4
178259,8
178258,8
178257,8
178256,10
178255,10
178250,0
178244,5
177591,10
177590,10
177589,10
177584,0
177583,0
177503,8
177501,7
177500,7
177499,5
177498,4
177482,3
177418,0
177417,0
177409,3
177408,3
177407,3
177406,4
177405,4
177404,4
177403,4
177402,4
177368,8
177367,8
177365,9
177352,0
177351,0
176810,8
176796,6
176770,0
176767,3
176701,10
176697,0
176694,0
176612,8
176610,7
176591,3
176538,0
176536,0
176535,0
176534,0
176532,0
176528,0
176527,0
176524,0
176518,3
176512,4
176476,8
176471,7
176470,7
176462,10
176461,10
176460,0
176459,0
176458,0
176457,0
175912,0
175905,5
175893,7
175892,7
175882,0
175831,0
175830,0
175700,3
175647,0
175646,0
175645,0
175644,0
175643,0
175640,0
175639,0
175638,0
175637,0
175627,3
175586,8
175585,8
175580,7
175579,7
175572,0
175569,0
175568,0
175567,0
175566,0
175022,0
175019,0
175014,5
175013,3
175001,7
174944,0
174809,3
174808,3
174786,2
174755,0
174754,0
174753,0
174752,0
174751,0
174747,0
174739,1
174736,3
174735,3
174695,8
174689,7
174682,0
174681,0
174678,0
174677,0
174676,0
174675,0
174136,8
174131,0
174122,2
174099,0
174091,0
174053,0
174025,10
173917,3
173916,3
173894,0
173857,0
173851,0
173850,0
173849,0
173848,1
173847,0
173846,0
173845,1
173805,8
173804,8
173792,0
173791,0
173787,0
173786,0
173785,0
173784,0
173246,8
173237,0
173235,0
173166,0
173165,0
173157,0
173026,3
173025,3
173008,10
172962,0
172961,0
172960,0
172959,0
