"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,44467001.110737,38925288.070652,3523,18470000.000000,237740000.000004,33870000.000000,18470000.000000,185400000.000000,0.142467,713.040084,21820.834078,3,0.999965
2,44067462.653477,38538462.653477,3527,18430000.000000,237740000.000004,34330000.000001,18430000.000000,184979999.999999,0.144401,0.000000,0.000000,0,1.000000
3,44333516.030732,38795359.363346,3524,18460000.000001,237740000.000004,34030000.000000,18460000.000001,185249999.999999,0.143140,156.667386,10762.026971,1,0.999994
4,44279881.390135,38732565.734298,3475,18490000.000000,237740000.000004,33050000.000001,18490000.000000,186200000.000000,0.139017,315.655837,54817.141869,2,0.999993
5,44328826.241708,38903616.281698,3488,18080000.000000,237740000.000004,34060000.000001,18080000.000000,185599999.999999,0.143266,1209.960010,79272.609301,3,0.999962
6,44256641.633435,38763566.405549,3504,18310000.000000,237740000.000004,33770000.000001,18310000.000000,185660000.000000,0.142046,75.227886,14326.590345,2,0.999998
7,44471462.654152,38888311.747230,3552,18610000.000000,237740000.000004,34500000.000001,18610000.000000,184629999.999999,0.145117,150.906922,34279.551668,1,0.999995
8,44141913.015014,38657854.928906,3535,18280000.000001,237740000.000004,34170000.000000,18280000.000001,185289999.999999,0.143728,58.086107,13194.661266,1,0.999998
9,44303285.635183,38752836.298851,3510,18500000.000000,237740000.000004,33700000.000001,18500000.000000,185539999.999999,0.141751,449.336332,59895.051483,2,0.999990
10,44256108.771458,38813990.640531,3520,18140000.000000,237740000.000004,34520000.000000,18140000.000000,185080000.000000,0.145201,118.130926,7306.685482,2,0.999996
